bmi,n,percent
0,483,0.000572261808995643
0.1,142,0.000168242602230603
0.2,308,0.000364920573852294
0.3,248,0.000293832150374574
0.4,249,0.000295016957432536
0.5,187,0.000221558919838893
0.6,3,3.55442117388598e-06
0.8,1,1.18480705796199e-06
0.9,2,2.36961411592399e-06
1,1,1.18480705796199e-06
1.1,1,1.18480705796199e-06
1.3,2,2.36961411592399e-06
1.4,1,1.18480705796199e-06
1.5,2,2.36961411592399e-06
1.6,8,9.47845646369595e-06
1.7,5,5.92403528980997e-06
1.8,4,4.73922823184797e-06
1.9,1,1.18480705796199e-06
2.1,6,7.10884234777196e-06
2.2,3,3.55442117388598e-06
2.3,4,4.73922823184797e-06
2.4,2,2.36961411592399e-06
2.5,3,3.55442117388598e-06
2.6,2,2.36961411592399e-06
2.7,5,5.92403528980997e-06
2.8,9,1.06632635216579e-05
2.9,7,8.29364940573395e-06
3,6,7.10884234777196e-06
3.1,6,7.10884234777196e-06
3.2,3,3.55442117388598e-06
3.3,7,8.29364940573395e-06
3.4,13,1.54024917535059e-05
3.5,4,4.73922823184797e-06
3.6,6,7.10884234777196e-06
3.7,3,3.55442117388598e-06
3.8,12,1.42176846955439e-05
3.9,11,1.30328776375819e-05
4,12,1.42176846955439e-05
4.1,12,1.42176846955439e-05
4.2,27,3.19897905649738e-05
4.3,20,2.36961411592399e-05
4.4,16,1.89569129273919e-05
4.5,20,2.36961411592399e-05
4.6,17,2.01417199853539e-05
4.7,23,2.72505623331259e-05
4.8,34,4.02834399707078e-05
4.9,30,3.55442117388598e-05
5,28,3.31745976229358e-05
5.1,26,3.08049835070118e-05
5.2,37,4.38378611445938e-05
5.3,41,4.85770893764417e-05
5.4,46,5.45011246662517e-05
5.5,39,4.62074752605177e-05
5.6,48,5.68707387821757e-05
5.7,53,6.27947740719857e-05
5.8,53,6.27947740719857e-05
5.9,75,8.88605293471495e-05
6,73,8.64909152312255e-05
6.1,93,0.000110187056390465
6.2,75,8.88605293471495e-05
6.3,97,0.000114926284622313
6.4,87,0.000103078214042693
6.5,90,0.000106632635216579
6.6,122,0.000144546461071363
6.7,107,0.000126774355201933
6.8,122,0.000144546461071363
6.9,117,0.000138622425781553
7,114,0.000135068004607667
7.1,123,0.000145731268129325
7.2,137,0.000162318566940793
7.3,135,0.000159948952824869
7.4,151,0.000178905865752261
7.5,137,0.000162318566940793
7.6,158,0.000187199515157995
7.7,148,0.000175351444578375
7.8,189,0.000223928533954817
7.9,172,0.000203786813969463
8,188,0.000222743726896855
8.1,189,0.000223928533954817
8.2,197,0.000233406990418513
8.3,185,0.000219189305722969
8.4,181,0.000214450077491121
8.5,213,0.000252363903345905
8.6,174,0.000206156428085387
8.7,205,0.000242885446882209
8.8,212,0.000251179096287943
8.9,188,0.000222743726896855
9,187,0.000221558919838893
9.1,211,0.000249994289229981
9.2,217,0.000257103131577753
9.3,218,0.000258287938635715
9.4,204,0.000241700639824247
9.5,215,0.000254733517461829
9.6,235,0.000278429658621068
9.7,221,0.000261842359809601
9.8,219,0.000259472745693677
9.9,239,0.000283168886852916
10,228,0.000270136009215335
10.1,199,0.000235776604534437
10.2,230,0.000272505623331259
10.3,203,0.000240515832766285
10.4,234,0.000277244851563107
10.5,233,0.000276060044505145
10.6,275,0.000325821940939548
10.7,237,0.000280799272736993
10.8,277,0.000328191555055472
10.9,278,0.000329376362113434
11,273,0.000323452326823624
11.1,266,0.00031515867741789
11.2,297,0.000351887696214712
11.3,269,0.000318713098591776
11.4,261,0.00030923464212808
11.5,272,0.000322267519765662
11.6,300,0.000355442117388598
11.7,313,0.000370844609142104
11.8,330,0.000390986329127458
11.9,322,0.000381507872663762
12,329,0.000389801522069496
12.1,360,0.000426530540866318
12.2,352,0.000417052084402622
12.3,356,0.00042179131263447
12.4,362,0.000428900154982242
12.5,369,0.000437193804387976
12.6,384,0.000454965910257406
12.7,349,0.000413497663228736
12.8,410,0.000485770893764417
12.9,428,0.000507097420807733
13,380,0.000450226682025558
13.1,428,0.000507097420807733
13.2,427,0.000505912613749771
13.3,434,0.000514206263155505
13.4,475,0.000562783352531947
13.5,440,0.000521315105503277
13.6,472,0.000559228931358061
13.7,487,0.000577001037227491
13.8,463,0.000548565667836403
13.9,524,0.000620838898372085
14,537,0.000636241390125591
14.1,579,0.000686003286559994
14.2,622,0.00073694999005236
14.3,621,0.000735765182994398
14.4,651,0.000771309394733258
14.5,635,0.000752352481805866
14.6,692,0.0008198864841097
14.7,677,0.00080211437824027
14.8,787,0.000932443154616089
14.9,865,0.00102485810513712
15,861,0.00102011887690528
15.1,938,0.00111134902036835
15.2,960,0.00113741477564351
15.3,1073,0.00127129797319322
15.4,1105,0.001309211799048
15.5,1113,0.0013186902555117
15.6,1184,0.001402811556627
15.7,1264,0.00149759612126396
15.8,1302,0.00154261878946652
15.9,1403,0.00166228430232068
16,1519,0.00179972192104427
16.1,1616,0.00191464820566658
16.2,1692,0.00200469354207169
16.3,1704,0.00201891122676724
16.4,1817,0.00215279442431694
16.5,1844,0.00218478421488192
16.6,1949,0.00230918895596793
16.7,2046,0.00242411524059024
16.8,2179,0.00258169457929918
16.9,2331,0.00276178525210941
17,2437,0.00288737480025338
17.1,2578,0.00305443259542602
17.2,2730,0.00323452326823624
17.3,2805,0.00332338379758339
17.4,2968,0.0035165073480312
17.5,3142,0.00372266377611658
17.6,3359,0.00397976690769434
17.7,3653,0.00432810018273516
17.8,3774,0.00447146183674856
17.9,3982,0.00471790170480466
18,4203,0.00497974406461426
18.1,4350,0.00515391070213467
18.2,4609,0.00546077573014683
18.3,4704,0.00557333240065322
18.4,5141,0.00609109308498261
18.5,5521,0.00654131976700817
18.6,5653,0.00669771429865915
18.7,5865,0.00694889339494709
18.8,6092,0.00721784459710446
18.9,6476,0.00767281050736187
19,6563,0.00777588872140456
19.1,7132,0.00845004393738494
19.2,7159,0.00848203372794991
19.3,7454,0.0088315518100487
19.4,7764,0.00919884199801692
19.5,8120,0.00962063331065139
19.6,8486,0.0100542726938655
19.7,8906,0.0105518916582095
19.8,9342,0.0110684675354809
19.9,9609,0.0113848110199568
20,9981,0.0118255592455187
20.1,10332,0.0122414265228633
20.2,10762,0.012750893557787
20.3,11055,0.0130980420257698
20.4,11455,0.0135719648489546
20.5,11753,0.0139250373522273
20.6,12165,0.0144131778601077
20.7,12651,0.0149889940902772
20.8,13030,0.0154380359652448
20.9,13373,0.0158444247861257
21,14163,0.0167804223619157
21.1,14233,0.0168633588559731
21.2,14484,0.0171607454275215
21.3,14973,0.0177401160788649
21.4,15440,0.0182934209749332
21.5,15873,0.0188064424310307
21.6,16483,0.0195291747363875
21.7,16874,0.0199924342960507
21.8,17629,0.020886963624812
21.9,18014,0.0213431143421274
22,18302,0.0216843387748204
22.1,18623,0.0220646618404262
22.2,19105,0.0226357388423639
22.3,19601,0.023223403143113
22.4,20041,0.0237447182486163
22.5,20586,0.0243904380952056
22.6,21092,0.0249899504665344
22.7,21737,0.0257541510189199
22.8,22102,0.026186605595076
22.9,22682,0.0268737936886939
23,23323,0.0276332550128476
23.1,23908,0.0283263671417553
23.2,24288,0.0287765938237809
23.3,24723,0.0292919848939944
23.4,25209,0.0298678011241639
23.5,25982,0.0307836569799685
23.6,25995,0.030799059471722
23.7,26642,0.0315656296382234
23.8,27007,0.0319980842143796
23.9,27609,0.0327113380632727
24,27949,0.0331141724629798
24.1,28438,0.0336935431143232
24.2,29162,0.0345513434242877
24.3,29166,0.0345560826525195
24.4,29710,0.0352006176920508
24.5,29908,0.0354352094895273
24.6,30707,0.0363818703288389
24.7,31212,0.0369801978931097
24.8,31521,0.03734630327402
24.9,31456,0.0372692908152525
25,31653,0.037502697805671
25.1,31967,0.037874727221871
25.2,31982,0.0378924993277405
25.3,32300,0.0382692679721724
25.4,32804,0.0388664107293852
25.5,33024,0.0391270682821369
25.6,33295,0.0394481509948446
25.7,33711,0.0399410307309568
25.8,33718,0.0399493243803625
25.9,33787,0.0400310760673619
26,34083,0.0403817789565186
26.1,34093,0.0403936270270982
26.2,34151,0.04046234583646
26.3,34489,0.0408628106220512
26.4,34765,0.0411898173700487
26.5,35157,0.0416542617367698
26.6,34966,0.0414279635886991
26.7,35386,0.0419255825530431
26.8,35814,0.0424326799738508
26.9,35793,0.0424077990256336
27,35895,0.0425286493455458
27.1,35677,0.04227036140691
27.2,35999,0.0426518692795738
27.3,35609,0.0421897945269686
27.4,35560,0.0421317389811285
27.5,35613,0.0421945337552005
27.6,35411,0.0419552027294922
27.7,35741,0.0423461890586196
27.8,35586,0.0421625439646355
27.9,35455,0.0420073342400425
28,35837,0.042459930536184
28.1,35463,0.0420168126965062
28.2,35607,0.0421874249128527
28.3,35637,0.0422229691245916
28.4,35509,0.0420713138211724
28.5,34937,0.0413936041840182
28.6,35101,0.0415879125415239
28.7,34934,0.0413900497628443
28.8,34939,0.0413959737981341
28.9,34911,0.0413627992005112
29,34978,0.0414421812733946
29.1,34938,0.0413947889910761
29.2,34800,0.0412312856170774
29.3,34573,0.04096233441492
29.4,33823,0.0400737291214485
29.5,33891,0.0401542960013899
29.6,33637,0.0398533550086676
29.7,32936,0.0390228052610362
29.8,33012,0.0391128505974413
29.9,32960,0.0390512406304273
30,31999,0.0379126410477258
30.1,31389,0.037189908742369
30.2,31411,0.0372159744976442
30.3,30750,0.0364328170323313
30.4,30560,0.0362077036913185
30.5,30625,0.0362847161500861
30.6,30324,0.0359280892256395
30.7,29855,0.0353724147154553
30.8,29297,0.0347112923771125
30.9,29299,0.0347136619912284
31,28823,0.0341496938316385
31.1,28956,0.0343072731703475
31.2,28213,0.0334269615262817
31.3,28193,0.0334032653851225
31.4,27928,0.0330892915147626
31.5,27653,0.032763469573823
31.6,27343,0.0323961793858548
31.7,26735,0.0316758166946139
31.8,26515,0.0314151591418623
31.9,26513,0.0314127895277463
32,26140,0.0309708564951265
32.1,25851,0.0306284472553755
32.2,25574,0.03030025570032
32.3,25211,0.0298701707382798
32.4,25217,0.0298772795806276
32.5,24813,0.0293986175292109
32.6,24733,0.029303832964574
32.7,24431,0.0289460212330695
32.8,24032,0.0284732832169426
32.9,23930,0.0283524328970305
33,23604,0.0279661857961349
33.1,22940,0.0271794739096481
33.2,22790,0.0270017528509538
33.3,22538,0.0267031814723474
33.4,22501,0.0266593436112028
33.5,22219,0.0263252280208575
33.6,22024,0.0260941906445549
33.7,21619,0.0256143437860803
33.8,21440,0.0254022633227051
33.9,21019,0.0249034595513031
34,20893,0.0247541738619999
34.1,20702,0.0245278757139292
34.2,20580,0.0243833292528578
34.3,20253,0.0239958973449043
34.4,20220,0.0239567987119915
34.5,19695,0.0233347750065615
34.6,19695,0.0233347750065615
34.7,19026,0.0225421390847849
34.8,19063,0.0225859769459295
34.9,18524,0.021947365941688
35,18444,0.021852581377051
35.1,18186,0.0215469011560968
35.2,17766,0.0210492821917528
35.3,17696,0.0209663456976954
35.4,17699,0.0209699001188693
35.5,17116,0.0202791576040775
35.6,16926,0.0200540442630647
35.7,16863,0.0199794014184131
35.8,16810,0.0199166066443411
35.9,16636,0.0197104502162557
36,16247,0.0192495602707085
36.1,15923,0.0188656827839288
36.2,16053,0.0190197077014639
36.3,15821,0.0187448324640167
36.4,15525,0.01839412957486
36.5,15273,0.0180955581962535
36.6,15019,0.0177946172035312
36.7,14800,0.0175351444578375
36.8,14626,0.0173289880297521
36.9,14528,0.0172128769380718
37,14163,0.0167804223619157
37.1,14241,0.0168728373124367
37.2,13864,0.0164261650515851
37.3,13579,0.0160884950400659
37.4,13360,0.0158290222943722
37.5,13155,0.01558613684749
37.6,13043,0.0154534384569983
37.7,12855,0.0152306947301014
37.8,12717,0.0150671913561027
37.9,12469,0.0147733592057281
38,12205,0.0144605701424261
38.1,12246,0.0145091472318026
38.2,11904,0.0141039432179796
38.3,11967,0.0141785860626312
38.4,11781,0.0139582119498502
38.5,11544,0.0136774126771133
38.6,11270,0.0133527755432317
38.7,11096,0.0131466191151463
38.8,11041,0.0130814547269584
38.9,10830,0.0128314604377284
39,10840,0.012843308508308
39.1,10461,0.0123942666333404
39.2,10340,0.012250904979327
39.3,10023,0.0118753211419531
39.4,10143,0.0120174979889085
39.5,9935,0.0117710581208524
39.6,9777,0.0115838586056944
39.7,9633,0.0114132463893479
39.8,9471,0.011221307645958
39.9,9306,0.0110258144813943
40,9185,0.0108824528273809
40.1,9080,0.0107580480862949
40.2,8973,0.010631273731093
40.3,8735,0.010349289651298
40.4,8652,0.0102509506654872
40.5,8336,0.00987655163517118
40.6,8469,0.0100341309738801
40.7,8198,0.00971304826117242
40.8,8180,0.00969172173412911
40.9,7917,0.0093801174778851
41,8090,0.00958508909891253
41.1,7730,0.00915855855804621
41.2,7869,0.00932324673910293
41.3,7491,0.00887538967119329
41.4,7436,0.00881022528300538
41.5,7361,0.00872136475365824
41.6,7372,0.00873439763129582
41.7,7224,0.00855904618671744
41.8,6950,0.00823440905283585
41.9,6865,0.00813370045290909
42,6734,0.00797849072831606
42.1,6767,0.00801758936122881
42.2,6566,0.00777944314257845
42.3,6492,0.00769176742028926
42.4,6370,0.0075472209592179
42.5,6267,0.00742518583224781
42.6,6204,0.00735054298759621
42.7,5996,0.00710410311954011
42.8,5964,0.00706618929368533
42.9,5850,0.00693112128907766
43,5962,0.00706381967956941
43.1,5677,0.00672614966805024
43.2,5611,0.00664795240222475
43.3,5461,0.00647023134353045
43.4,5626,0.00666572450809418
43.5,5462,0.00647141615058841
43.6,5320,0.00630317354835781
43.7,5258,0.00622971551076416
43.8,5150,0.00610175634850427
43.9,4996,0.00591929606157812
44,4978,0.0058979695345348
44.1,4998,0.00592166567569404
44.2,4921,0.00583043553223097
44.3,4655,0.00551527685481308
44.4,4737,0.00561243103356596
44.5,4774,0.00565626889471056
44.6,4637,0.00549395032776976
44.7,4452,0.0052747610220468
44.8,4388,0.00519893337033723
44.9,4437,0.00525698891617737
45,4248,0.00503306038222255
45.1,4245,0.00502950596104866
45.2,4151,0.00491813409760024
45.3,4093,0.00484941528823844
45.4,3957,0.00468828152835561
45.5,3961,0.00469302075658746
45.6,3921,0.00464562847426898
45.7,3827,0.00453425661082055
45.8,3797,0.00449871239908169
45.9,3737,0.00442762397560397
46,3649,0.00432336095450331
46.1,3654,0.00432928498979312
46.2,3498,0.00414445508875105
46.3,3447,0.00408402992879499
46.4,3363,0.00398450613592618
46.5,3252,0.0038529925524924
46.6,3255,0.00385654697366629
46.7,3258,0.00386010139484017
46.8,3310,0.0039217113618542
46.9,3191,0.00378071932195672
47,3142,0.00372266377611658
47.1,3072,0.00363972728205924
47.2,2936,0.00347859352217641
47.3,2875,0.00340632029164073
47.4,2891,0.00342527720456812
47.5,2837,0.00336129762343818
47.6,2840,0.00336485204461206
47.7,2732,0.00323689288235217
47.8,2629,0.00311485775538208
47.9,2587,0.00306509585894768
48,2533,0.00300111627781773
48.1,2568,0.0030425845248464
48.2,2464,0.00291936459081835
48.22,1,1.18480705796199e-06
48.3,2434,0.00288382037907949
48.4,2419,0.00286604827321006
48.5,2318,0.0027463827603559
48.6,2365,0.00280206869208012
48.7,2298,0.00272268661919666
48.8,2176,0.0025781401581253
48.9,2284,0.00270609932038519
49,2172,0.00257340092989345
49.1,2134,0.00252837826169089
49.2,1989,0.00235658123828641
49.3,2066,0.00244781138174948
49.4,2003,0.00237316853709787
49.5,2016,0.00238857102885138
49.6,1985,0.00235184201005456
49.7,1840,0.00218004498665007
49.8,1938,0.00229615607833034
49.9,1875,0.00222151323367874
50,1813,0.00214805519608509
50.1,1826,0.0021634576878386
50.2,1752,0.00207578196554941
50.3,1711,0.00202720487617297
50.4,1715,0.00203194410440482
50.5,1665,0.00197270375150672
50.6,1620,0.00191938743389843
50.7,1520,0.00180090672810223
50.8,1563,0.0018518534315946
50.9,1483,0.00175706886695764
51,1476,0.0017487752175519
51.1,1408,0.00166820833761049
51.2,1457,0.00172626388345062
51.3,1330,0.00157579338708945
51.4,1431,0.00169545889994361
51.5,1335,0.00158171742237926
51.6,1281,0.00151773784124931
51.65,1,1.18480705796199e-06
51.7,1337,0.00158408703649519
51.8,1260,0.00149285689303211
51.9,1259,0.00149167208597415
52,1298,0.00153787956123467
52.1,1192,0.0014122900130907
52.2,1264,0.00149759612126396
52.3,1147,0.00135897369548241
52.4,1158,0.00137200657311999
52.5,1155,0.0013684521519461
52.6,1088,0.00128907007906265
52.7,1034,0.0012250904979327
52.8,1061,0.00125708028849768
52.9,949,0.00112438189800593
53,1031,0.00122153607675882
53.1,1005,0.0011907310932518
53.2,970,0.00114926284622313
53.3,984,0.0011658501450346
53.38,1,1.18480705796199e-06
53.4,909,0.00107698961568745
53.5,924,0.00109476172155688
53.6,869,0.00102959733336897
53.7,888,0.00105210866747025
53.8,859,0.00101774926278935
53.9,806,0.000954954488717367
54,856,0.00101419484161547
54.1,761,0.000901638171109077
54.2,855,0.0010130100345575
54.3,777,0.000920595084036469
54.4,767,0.000908747013456849
54.5,772,0.000914671048746659
54.6,802,0.000950215260485519
54.7,727,0.000861354731138369
54.8,768,0.000909931820514811
54.9,726,0.000860169924080407
55,711,0.000842397818210977
55.1,717,0.000849506660558749
55.2,684,0.000810408027646004
55.3,699,0.000828180133515433
55.4,628,0.000744058832400132
55.5,625,0.000740504411226246
55.6,626,0.000741689218284208
55.7,599,0.000709699427719234
55.8,622,0.00073694999005236
55.9,629,0.000745243639458094
56,602,0.00071325384889312
56.1,541,0.000640980618357439
56.2,585,0.000693112128907766
56.3,559,0.000662307145400754
56.4,571,0.000676524830096298
56.5,547,0.000648089460705211
56.6,506,0.000599512371328769
56.7,495,0.000586479493691187
56.8,467,0.000553304896068251
56.9,517,0.000612545248966351
57,516,0.000611360441908389
57.1,426,0.000504727806691809
57.2,442,0.000523684719619201
57.3,457,0.000541456825488631
57.4,438,0.000518945491387353
57.5,451,0.000534347983140859
57.6,423,0.000501173385517923
57.7,436,0.000516575877271429
57.8,439,0.000520130298445315
57.9,426,0.000504727806691809
58,401,0.000475107630242759
58.1,403,0.000477477244358683
58.2,397,0.000470368402010911
58.3,390,0.000462074752605177
58.4,341,0.00040401920676504
58.5,362,0.000428900154982242
58.6,371,0.0004395634185039
58.7,327,0.000387431907953572
58.8,363,0.000430084962040204
58.9,336,0.00039809517147523
