year,state,n,percent
2019,NY,377715,0.447519397898114
2023,PR,95168,0.112755718092127
2017,KY,861,0.00102011887690528
2018,KY,139900,0.165754507408883
2019,KY,447125,0.529756855791256
2022,CT,76260,0.0903533862401816
2023,CT,93612,0.110912158309938
2021,IL,317028,0.375617011971575
2022,IL,361120,0.427857524771235
2021,VA,322593,0.382210463249133
2022,VA,356290,0.422134906681279
2021,CA,842707,0.998445201393978
2020,NM,74365,0.0881081768653436
2021,NM,100697,0.119306516315599
2022,NM,109619,0.129877364886736
2020,CA,732285,0.867616436439698
2020,IL,262473,0.310979862924458
2023,IL,439392,0.520594742812036
2019,IL,713428,0.845274529747709
2024,IL,127986,0.151638716120324
2024,CA,382700,0.453425661082055
2017,AR,897,0.00106277193099191
2018,AR,132896,0.157456118774917
2019,AR,546717,0.647754160307807
2018,TX,881690,1.04463253493451
2019,TX,3344692,3.96281468830902
2022,OK,306321,0.362931282801976
2023,OK,351421,0.416366081116062
2024,OK,104769,0.12413105065562
2021,KY,210761,0.249711120343128
2022,KY,236445,0.280141704819824
2021,TX,1621859,1.92158999021918
2022,TX,1850585,2.1925861693586
2023,NY,243696,0.288732740797106
2024,NY,70872,0.0839696458118824
2017,WV,120,0.000142176846955439
2018,WV,26330,0.0311959698361393
2019,WV,136263,0.161445364139075
2021,OH,251521,0.298003856025659
2022,OH,280359,0.332171321963167
2019,NV,276994,0.328184446213124
2020,NV,114135,0.135227953560492
2019,CA,1916909,2.27116731267087
2021,WA,124317,0.147291659024661
2022,WA,145375,0.172241326051225
2023,WA,171383,0.2030557880147
2019,OK,541901,0.642048129516662
2019,MO,643048,0.761887809008344
2020,MO,250579,0.296887767777058
2020,NC,421209,0.499051396077113
2021,NC,527474,0.624954918091445
2022,AR,298539,0.353711114276916
2023,AR,346092,0.410052244304182
2019,AZ,629104,0.745366859392122
2020,AZ,247388,0.293107048455102
2021,MS,203638,0.241271739669264
2022,MS,221730,0.262707268961913
2021,PA,265298,0.314326942863201
2022,PA,291585,0.345471965995848
2019,OH,583834,0.691730643878183
2020,OH,209398,0.248096228323126
2019,AL,624753,0.740211763882929
2024,TX,691108,0.818829636213997
2017,UT,423,0.000501173385517923
2018,UT,54741,0.0648575231598975
2017,TX,6438,0.00762778783915931
2019,IN,609239,0.721830667185707
2020,IN,232521,0.275492521924381
2021,FL,1130914,1.33991488914803
2022,FL,1325516,1.57048071224155
2017,OK,875,0.00103670617571674
2018,OK,117739,0.139497998197387
2023,TX,2217478,2.62728358527545
2022,NC,600976,0.712040606465767
2019,GA,1189025,1.40876521209326
2019,MS,417985,0.495231578122244
2020,MS,168350,0.199462268207902
2024,OH,95362,0.112985570661372
2020,VA,260432,0.308561671719158
2023,PA,348914,0.413395769821751
2024,PA,98527,0.116735484999821
2019,NH,81119,0.0961103637348189
2020,NH,31827,0.0377088542337564
2018,NC,230969,0.273653701370424
2023,AL,413785,0.490255388478804
2024,AL,125975,0.149256069126762
2017,MN,348,0.000412312856170774
2018,MN,68232,0.0808417551788627
2019,MN,261033,0.309273740760993
2021,WI,151083,0.179004204738072
2022,WI,169585,0.200925504924485
2023,WI,203361,0.240943548114209
2020,NY,136891,0.162189422971475
2021,NY,173599,0.205681320455144
2019,VA,700831,0.830349515238562
2018,GA,397335,0.470765312375329
2021,OK,273350,0.323867009293911
2023,NM,127910,0.151548670783919
2024,NM,40010,0.0474041303890594
2017,FL,6351,0.00752470962511662
2018,FL,423741,0.502051327547873
2019,FL,2367784,2.80536719492948
2019,NC,1118813,1.32557753893963
2021,AZ,307000,0.363735766794332
2020,TX,1339053,1.58651944538518
2020,AR,212108,0.251307055450202
2021,AR,262141,0.310586506981215
2020,GA,468943,0.555606976181871
2021,MO,311384,0.368929960936437
2023,RI,30326,0.0359304588397554
2024,RI,8452,0.0100139892538948
2019,PA,611229,0.724188433231051
2020,OR,68586,0.0812611768773813
2021,OR,74777,0.088596317373224
2020,FL,990823,1.17393408359108
2022,CA,1054494,1.24937193377857
2018,SC,93959,0.111323286359051
2019,SC,633109,0.75011201165926
