zipcode,n,percent
78717,26445,0.0313322226478049
28348,28924,0.0342693593444927
30014,29623,0.0350975394780081
60051,15380,0.0182223325514555
85018,40058,0.0474610011278415
73160,32360,0.0383403563956501
90680,12461,0.0147638807492644
70448,24162,0.0286273081344777
75707,17482,0.0207127969872916
27284,27540,0.0326295863762733
46168,29270,0.0346793025865476
46173,30,3.55442117388598e-05
46176,17374,0.0205848378250317
13036,6648,0.00787659732133133
18344,11894,0.0140920951473999
37825,9897,0.0117260354526499
23805,17602,0.020854973834247
34233,23181,0.027465012410617
30062,39185,0.0464266645662407
91706,52380,0.0620601936960492
34114,78344,0.0928225241489744
77642,27385,0.0324459412822892
70607,15994,0.0189498040850441
76903,40192,0.0476197652736085
40356,12841,0.01521410743129
38053,17488,0.0207199058296393
14623,18560,0.0219900189957746
30458,41927,0.0496754055191725
40014,9317,0.0110388473590319
77063,40211,0.0476422766077097
72764,43905,0.0520189538798213
37075,24213,0.0286877332944337
33873,20196,0.0239283633426004
80229,43258,0.0512523837133199
30318,9222,0.0109262906885255
61231,5055,0.00598919967799788
34481,24955,0.0295668601314416
78043,25103,0.0297422115760199
39350,20586,0.0243904380952056
33467,43236,0.0512263179580448
37415,20222,0.0239591683261074
19403,20687,0.0245101036080598
32810,31056,0.0367953679920677
64133,24410,0.0289211402848523
47714,10849,0.0128539717718297
13790,10012,0.0118622882643155
33458,22332,0.0264591112184072
66062,37495,0.044424340638285
33825,30468,0.036098701441986
02904,19121,0.0226546957552913
97603,15097,0.0178870321540522
32127,45811,0.0542771961322969
61071,8245,0.00976873419289664
28563,7673,0.00909102455574238
05701,11032,0.0130707914634367
77494,35284,0.041804732233131
77065,28987,0.0343440021891443
77506,50740,0.0601171101209916
50010,22966,0.0272102788931551
45056,11804,0.0139854625121834
62948,9279,0.0109938246908293
28306,15817,0.0187400932357849
91770,63782,0.0755693637709319
25840,8620,0.0102130368396324
88101,15195,0.0180031432457325
61350,12116,0.0143551223142675
44241,15423,0.0182732792549478
47546,22383,0.0265195363783633
30341,33523,0.0397182870040599
24354,13796,0.0163455981716437
86336,2126,0.0025188998052272
98272,9856,0.0116774583632734
95926,448,0.000530793561966973
97123,713,0.000844767432326901
98404,446,0.000528423947851049
85302,29254,0.0346603456736202
27518,22813,0.027029003413287
39083,19380,0.0229615607833034
40216,25115,0.0297564292607155
35476,28983,0.0343392629609125
17011,7323,0.00867634208545568
19464,13190,0.0156276050945187
22315,18646,0.0220919124027593
27949,19349,0.0229248317645066
34239,21612,0.0256060501366746
72601,24077,0.0285265995345509
17050,23169,0.0274507947259214
38801,39459,0.0467513017001223
66212,23082,0.0273477165118787
94577,21200,0.0251179096287943
80015,31059,0.0367989224132416
30013,32837,0.038905509362298
37013,33213,0.0393509968160917
40324,23946,0.0283713898099579
76306,14088,0.0166915618325686
95356,17473,0.0207021337237699
52501,19298,0.0228644066045506
31088,37833,0.0448248054238761
07753,20521,0.0243134256364381
78537,29360,0.0347859352217641
60461,15486,0.0183479220995994
60451,17135,0.0203016689381788
32824,24419,0.0289318035483739
34953,46026,0.0545319296497587
27407,42472,0.0503211253657618
42437,9098,0.0107793746133382
48188,12284,0.0145541699000051
28734,20039,0.0237423486345004
88011,21696,0.0257055739295434
89119,39582,0.0468970329682516
13601,14643,0.0173491297497375
19137,13381,0.0158539032425894
78223,39307,0.0465712110273121
92688,14871,0.0176192657589528
93630,20782,0.0246226602785662
34472,25643,0.0303820073873194
25526,10942,0.0129641588282201
39157,15965,0.0189154446803632
22407,25647,0.0303867466155512
33169,35812,0.0424303103597349
33607,27070,0.0320727270590312
70301,42388,0.050221601572893
70706,15601,0.0184841749112651
17815,17583,0.0208324625001457
40218,28378,0.0336224546908454
75401,12959,0.0153539146641295
75228,54461,0.0645257771836681
20110,22430,0.0265752223100875
53511,10404,0.0123267326310366
75023,73047,0.0865466011629497
68128,9654,0.0114381273375651
23229,14714,0.0174332510508528
77082,54393,0.0644452103037267
68601,8991,0.0106526002581363
08619,24021,0.028460250339305
91911,33182,0.0393142677972949
32822,72969,0.0864541862124287
32060,27299,0.0323440478753045
39402,31451,0.0372633667799627
37813,23740,0.0281273195560177
95608,20329,0.0240859426813094
30907,47123,0.055831662992343
07036,50594,0.0599441282905291
75052,68804,0.081519464816017
36081,15758,0.0186701896193651
37303,25379,0.0300692183240174
73018,18559,0.0219888341887166
42240,35256,0.041771557635508
81501,16213,0.0192092768307378
65803,49931,0.0591586012111003
70601,30128,0.0356958670422789
86314,14283,0.0169225992088712
15122,20944,0.024814599021956
73170,17982,0.0213052005162726
35633,15895,0.0188325081863059
08002,14583,0.0172780413262598
32952,24037,0.0284792072522324
23502,39326,0.0465937223614134
89014,36561,0.0433177308461484
74112,31373,0.0371709518294416
52655,16054,0.0190208925085218
97330,11158,0.0132200771527399
75048,23785,0.028180635873626
55113,24376,0.0288808568448816
20111,3167,0.00375228395256563
25873,8769,0.0103895730912687
92545,19609,0.0232328815995767
74006,24674,0.0292339293481542
39339,21439,0.0254010785156472
47129,26922,0.0318973756144528
79907,66271,0.0785183485381993
62034,22748,0.0269519909545194
32773,31772,0.0376436898455685
45331,14710,0.0174285118226209
45315,12739,0.0150932571113778
68850,17569,0.0208158752013343
39180,12692,0.0150375711796536
32506,52189,0.0618338955479785
98057,22177,0.0262754661244231
83854,27698,0.0328167858914313
70130,25200,0.0298571378606422
29671,16143,0.0191263403366805
23451,43137,0.0511090220593065
76021,52507,0.0622106641924104
79912,71720,0.0849743621970342
89015,30155,0.0357278568328439
42728,21272,0.0252032157369675
37042,46279,0.0548316858354231
28466,23763,0.0281545701183509
92392,50704,0.0600744570669049
85716,10367,0.012282894769892
54729,18635,0.0220788795251217
32801,28794,0.0341153344269576
78539,90184,0.106850639715244
72756,55695,0.0659878290931932
21921,23018,0.0272718888601692
36301,14768,0.0174972306319827
75160,21954,0.0260112541504976
70737,22265,0.0263797291455238
51501,27612,0.0327148924844466
28694,18500,0.0219189305722969
32536,30145,0.0357160087622643
28602,45906,0.0543897528028033
73149,31606,0.0374470118739468
33162,60672,0.0718846138206701
78249,43243,0.0512346116074505
33966,30554,0.0362005948489708
22182,30154,0.035726672025786
89113,34053,0.0403462347447798
98270,11330,0.0134238639667094
15857,7534,0.00892633637468566
55720,12642,0.0149783308267555
44870,10486,0.0124238868097895
27021,17107,0.0202684943405558
29070,15683,0.0185813290900179
35801,16835,0.0199462268207902
29706,14217,0.0168444019430457
66604,11974,0.0141868797120369
40511,31229,0.0370003396130951
60107,40767,0.0483010293319366
34714,16835,0.0199462268207902
80751,12036,0.0142603377496306
32435,19534,0.0231440210702296
75961,12502,0.0148124578386408
38635,14029,0.0166216582161488
76502,36682,0.0434610925001618
34432,26800,0.0317528291533814
42501,27895,0.0330501928818498
85338,28692,0.0339944841070455
22801,60440,0.0716097385832229
33436,74235,0.0879541519478086
29440,12618,0.0149498954573644
77450,14111,0.0167188123949017
08012,12887,0.0152686085559562
87110,34009,0.0402941032342294
42101,23638,0.0280064692361056
79935,66247,0.0784899131688082
12110,21870,0.0259117303576288
77373,55434,0.0656785944510652
93635,30222,0.0358072389057274
95035,45063,0.0533909604529413
75249,25371,0.0300597398675537
31206,28713,0.0340193650552627
78757,24437,0.0289531300754172
38901,22276,0.0263927620231614
85331,23580,0.0279377504267438
72704,31688,0.0375441660526997
78155,22180,0.026279020545597
70043,17719,0.0209935962600286
90620,62998,0.0746404750374897
29652,13652,0.0161749859552971
34105,16813,0.019920161065515
35242,29928,0.0354589056306865
10547,22818,0.0270349274485768
87015,11540,0.0136726734488814
78332,32611,0.0386377429671986
08050,23820,0.0282221041206547
89410,8955,0.0106099472040497
75220,32512,0.0385204470684603
15301,16341,0.0193609321341569
77459,71358,0.0845454620420519
95118,27979,0.0331497166747186
45414,14524,0.01720813770984
45365,13659,0.0161832796047029
16335,10207,0.0120933256406181
88240,25595,0.0303251366485372
32099,11677,0.0138349920158222
93906,34961,0.0414220395534093
35125,27578,0.0326746090444759
33196,50296,0.0595910557872564
86409,32156,0.0380986557558259
75070,22328,0.0264543719901754
37185,14796,0.0175304052296057
42141,21577,0.0255645818896459
47167,11539,0.0136714886418234
28805,26260,0.031113033342082
41017,17306,0.0205042709450903
41008,10670,0.0126418913084545
75232,27621,0.0327255557479682
90250,34291,0.0406282188245747
27513,15889,0.0188253993439581
28358,42947,0.0508839087182937
03785,4818,0.00570840040526089
66061,20971,0.024846588812521
86004,20350,0.0241108236295266
84720,23391,0.027713821892789
36092,18887,0.0223774509037282
85364,56502,0.0669439683889686
97402,21084,0.0249804720100707
27597,9495,0.0112497430153491
35650,23318,0.0276273309775578
92253,41791,0.0495142717592897
23693,20815,0.0246617589114789
77386,18595,0.0220314872428033
20011,42705,0.0505971854102669
29526,50073,0.0593268438133309
39581,26931,0.0319080388779745
29108,13142,0.0155707343557365
80525,9858,0.0116798279773893
00662,38312,0.0453923280046399
74146,24358,0.0288595303178382
53081,14990,0.0177602577988503
54452,4860,0.00575816230169529
70563,12886,0.0152674237488982
68701,13695,0.0162259326587895
70360,18924,0.0224212887648728
76033,22546,0.0267126599288111
57110,21613,0.0256072349437326
48162,15938,0.0188834548897983
96793,2219,0.00262908686161766
HI,16,1.89569129273919e-05
95603,299,0.000354257310330636
22015,22847,0.0270692868532577
77062,914,0.00108291365097726
27263,48801,0.0578197692356032
75033,21112,0.0250136466076936
75034,56542,0.066991360671287
85365,54782,0.0649061002492739
88001,30057,0.0356117457411636
95928,29708,0.0351982480779349
72023,30582,0.0362337694465937
15061,13603,0.016116930409457
71603,29168,0.0345584522666354
92646,33182,0.0393142677972949
84123,26421,0.0313037872784138
33034,30726,0.0364043816629402
63841,14811,0.0175481773354751
33912,37852,0.0448473167579774
92021,46218,0.0547594126048874
38242,23022,0.027276628088401
78613,46690,0.0553186415362455
30528,27861,0.0330099094418791
29341,21663,0.0256664752966307
63011,29376,0.0348048921346915
89123,52046,0.0616644681386899
37323,22530,0.0266937030158837
65109,20738,0.0245705287680158
70809,23747,0.0281356132054235
83338,13766,0.0163100539599048
28227,41799,0.0495237502157534
28212,1992,0.00236013565946029
76137,9593,0.0113658541070294
53115,13231,0.0156761821838951
89183,26464,0.0313547339819062
39301,33732,0.039965911679174
60510,14591,0.0172875197827235
44256,11748,0.0139191133169375
45895,9072,0.0107485696298312
27292,28015,0.0331923697288052
76205,35113,0.0416021302262195
33406,44049,0.0521895660961679
32541,33032,0.0391365467386006
86326,19597,0.0232186639148812
74955,24439,0.0289554996895332
46227,35471,0.0420262911529699
22485,15605,0.0184889141394969
47842,10924,0.0129428323011768
60543,17171,0.0203443219922654
52057,10123,0.0119938018477493
00680,38621,0.0457584333855502
23188,25735,0.0304910096366519
34689,25379,0.0300692183240174
28472,24853,0.0294460098115294
88030,19088,0.0226155971223785
85017,30955,0.0366757024792135
27889,31862,0.037750322480785
76065,28342,0.0335798016367588
77096,55150,0.0653421092466039
56187,9413,0.0111525888365962
88310,36133,0.0428106334253407
33708,46769,0.0554122412938245
73127,21487,0.0254579492544294
74063,19025,0.0225409542777269
18976,15418,0.018267355219658
77406,49121,0.0581989074941511
00659,20734,0.024565789539784
22664,14650,0.0173574233991432
77022,39582,0.0468970329682516
46202,13827,0.0163823271904405
75154,22981,0.0272280509990246
90242,35145,0.0416400440520743
76179,36697,0.0434788646060313
76513,13667,0.0161927580611666
34667,28815,0.0341402153751748
12010,11026,0.0130636826210889
60638,31260,0.0370370686318919
78503,44720,0.0529845716320603
92648,25069,0.0297019281360492
93036,49791,0.0589927282229856
77706,29692,0.0351792911650075
75474,23237,0.0275313616058628
76017,92688,0.109817396588381
