GEOID,NAME,sex,age,estimate,variable,summary_est,percent
01,Alabama,male,18-19,73111,male_18-19,3917450,0.018662905716729
01,Alabama,male,20-44,794905,male_20-44,3917450,0.202913885308045
01,Alabama,male,45-64,629211,male_45-64,3917450,0.160617493522572
01,Alabama,male,65plus,381165,male_65plus,3917450,0.097299263551545
01,Alabama,female,18-19,74854,female_18-19,3917450,0.0191078380068667
01,Alabama,female,20-44,811132,female_20-44,3917450,0.207056120690755
01,Alabama,female,45-64,663203,female_45-64,3917450,0.169294566618591
01,Alabama,female,65plus,489869,female_65plus,3917450,0.125047926584896
02,Alaska,male,18-19,10163,male_18-19,555483,0.0182957894300996
02,Alaska,male,20-44,143481,male_20-44,555483,0.25829953391913
02,Alaska,male,45-64,94042,male_45-64,555483,0.169297710280963
02,Alaska,male,65plus,46776,male_65plus,555483,0.0842077975383585
02,Alaska,female,18-19,8202,female_18-19,555483,0.0147655283780062
02,Alaska,female,20-44,121975,female_20-44,555483,0.219583677628298
02,Alaska,female,45-64,83460,female_45-64,555483,0.150247622339478
02,Alaska,female,65plus,47384,female_65plus,555483,0.0853023404856674
04,Arizona,male,18-19,101385,male_18-19,5578819,0.0181732011739402
04,Arizona,male,20-44,1231852,male_20-44,5578819,0.220808741061504
04,Arizona,male,45-64,842425,male_45-64,5578819,0.151004182067925
04,Arizona,male,65plus,598164,male_65plus,5578819,0.107220542555691
04,Arizona,female,18-19,96851,female_18-19,5578819,0.0173604843605788
04,Arizona,female,20-44,1147103,female_20-44,5578819,0.20561753302984
04,Arizona,female,45-64,861401,female_45-64,5578819,0.154405618823626
04,Arizona,female,65plus,699638,female_65plus,5578819,0.125409696926894
05,Arkansas,male,18-19,43703,male_18-19,2321401,0.0188261312888208
05,Arkansas,male,20-44,490934,male_20-44,2321401,0.211481773291215
05,Arkansas,male,45-64,367968,male_45-64,2321401,0.158511174932724
05,Arkansas,male,65plus,231515,male_65plus,2321401,0.0997307229556634
05,Arkansas,female,18-19,40633,female_18-19,2321401,0.0175036540433988
05,Arkansas,female,20-44,482208,female_20-44,2321401,0.207722836338918
05,Arkansas,female,45-64,376521,female_45-64,2321401,0.162195587922983
05,Arkansas,female,65plus,287919,female_65plus,2321401,0.124028119226278
06,California,male,18-19,543074,male_18-19,30581534,0.0177582327949932
06,California,male,20-44,7166155,male_20-44,30581534,0.234329481313789
06,California,male,45-64,4879670,male_45-64,30581534,0.159562630180684
06,California,male,65plus,2624947,male_65plus,30581534,0.0858343796619228
06,California,female,18-19,520988,female_18-19,30581534,0.0170360322670537
06,California,female,20-44,6743878,female_20-44,30581534,0.220521246579717
06,California,female,45-64,4862469,female_45-64,30581534,0.159000166571108
06,California,female,65plus,3240353,female_65plus,30581534,0.105957830630733
08,Colorado,male,18-19,82050,male_18-19,4529480,0.0181146621687258
08,Colorado,male,20-44,1103181,male_20-44,4529480,0.243555772406546
08,Colorado,male,45-64,712310,male_45-64,4529480,0.157260877628337
08,Colorado,male,65plus,393735,male_65plus,4529480,0.0869271969409292
08,Colorado,female,18-19,74218,female_18-19,4529480,0.0163855453606153
08,Colorado,female,20-44,1004709,female_20-44,4529480,0.221815528493337
08,Colorado,female,45-64,697659,female_45-64,4529480,0.154026289993553
08,Colorado,female,65plus,461618,female_65plus,4529480,0.101914127007957
09,Connecticut,male,18-19,53514,male_18-19,2868440,0.0186561336475576
09,Connecticut,male,20-44,571182,male_20-44,2868440,0.199126354394723
09,Connecticut,male,45-64,486716,male_45-64,2868440,0.169679686519502
09,Connecticut,male,65plus,278526,male_65plus,2868440,0.097100165943858
09,Connecticut,female,18-19,52745,female_18-19,2868440,0.0183880436753078
09,Connecticut,female,20-44,564727,female_20-44,2868440,0.196876002286957
09,Connecticut,female,45-64,510448,female_45-64,2868440,0.177953173153352
09,Connecticut,female,65plus,350582,female_65plus,2868440,0.122220440378742
10,Delaware,male,18-19,13155,male_18-19,786933,0.0167167979993214
10,Delaware,male,20-44,152692,male_20-44,786933,0.194034307876274
10,Delaware,male,45-64,124467,male_45-64,786933,0.158167213727217
10,Delaware,male,65plus,87631,male_65plus,786933,0.111357637816688
10,Delaware,female,18-19,13592,female_18-19,786933,0.0172721184649773
10,Delaware,female,20-44,152937,female_20-44,786933,0.194345643148781
10,Delaware,female,45-64,135074,female_45-64,786933,0.171646124892462
10,Delaware,female,65plus,107385,female_65plus,786933,0.136460156074278
11,District of Columbia,male,18-19,7747,male_18-19,546531,0.0141748592486062
11,District of Columbia,male,20-44,145808,male_20-44,546531,0.266788160232448
11,District of Columbia,male,45-64,69510,male_45-64,546531,0.12718400237132
11,District of Columbia,male,65plus,34821,male_65plus,546531,0.0637127628624909
11,District of Columbia,female,18-19,8935,female_18-19,546531,0.0163485694315602
11,District of Columbia,female,20-44,159989,female_20-44,546531,0.292735453249678
11,District of Columbia,female,45-64,70091,female_45-64,546531,0.128247071071906
11,District of Columbia,female,65plus,49630,female_65plus,546531,0.0908091215319899
12,Florida,male,18-19,264376,male_18-19,17399100,0.0151948089268985
12,Florida,male,20-44,3412024,male_20-44,17399100,0.196103476616607
12,Florida,male,45-64,2762564,male_45-64,17399100,0.158776258542109
12,Florida,male,65plus,2040873,male_65plus,17399100,0.117297618842354
12,Florida,female,18-19,252130,female_18-19,17399100,0.0144909794184757
12,Florida,female,20-44,3313165,female_20-44,17399100,0.190421631003903
12,Florida,female,45-64,2874194,female_45-64,17399100,0.165192107637751
12,Florida,female,65plus,2479774,female_65plus,17399100,0.142523119011903
13,Georgia,male,18-19,156211,male_18-19,8209780,0.0190274282623895
13,Georgia,male,20-44,1804441,male_20-44,8209780,0.219791638752805
13,Georgia,male,45-64,1324298,male_45-64,8209780,0.161307367554307
13,Georgia,male,65plus,674785,male_65plus,8209780,0.0821928236810243
13,Georgia,female,18-19,151867,female_18-19,8209780,0.0184983032432051
13,Georgia,female,20-44,1833975,female_20-44,8209780,0.223389055492352
13,Georgia,female,45-64,1398543,female_45-64,8209780,0.170350849840069
13,Georgia,female,65plus,865660,female_65plus,8209780,0.105442533173849
15,Hawaii,male,18-19,16630,male_18-19,1145270,0.0145205933971902
15,Hawaii,male,20-44,252230,male_20-44,1145270,0.220236276161953
15,Hawaii,male,45-64,178154,male_45-64,1145270,0.15555633169471
15,Hawaii,male,65plus,127399,male_65plus,1145270,0.111239271088914
15,Hawaii,female,18-19,14233,female_18-19,1145270,0.0124276371510648
15,Hawaii,female,20-44,227606,female_20-44,1145270,0.198735669318152
15,Hawaii,female,45-64,176709,female_45-64,1145270,0.154294620482506
15,Hawaii,female,65plus,152309,female_65plus,1145270,0.132989600705511
16,Idaho,male,18-19,28729,male_18-19,1399330,0.0205305396153874
16,Idaho,male,20-44,310619,male_20-44,1399330,0.221976946109924
16,Idaho,male,45-64,217477,male_45-64,1399330,0.155415091508079
16,Idaho,male,65plus,143426,male_65plus,1399330,0.102496194607419
16,Idaho,female,18-19,32452,female_18-19,1399330,0.0231910985971858
16,Idaho,female,20-44,293910,female_20-44,1399330,0.210036231625135
16,Idaho,female,45-64,213600,female_45-64,1399330,0.152644479858218
16,Idaho,female,65plus,159117,female_65plus,1399330,0.113709418078652
17,Illinois,male,18-19,174946,male_18-19,9937157,0.0176052365882918
17,Illinois,male,20-44,2158835,male_20-44,9937157,0.217248756359591
17,Illinois,male,45-64,1623496,male_45-64,9937157,0.163376305718024
17,Illinois,male,65plus,913008,male_65plus,9937157,0.091878190110109
17,Illinois,female,18-19,166186,female_18-19,9937157,0.0167236967273436
17,Illinois,female,20-44,2099734,female_20-44,9937157,0.211301280637913
17,Illinois,female,45-64,1643053,female_45-64,9937157,0.165344373647312
17,Illinois,female,65plus,1157899,female_65plus,9937157,0.116522160211417
18,Indiana,male,18-19,101822,male_18-19,5206942,0.0195550478572644
18,Indiana,male,20-44,1119521,male_20-44,5206942,0.21500546770062
18,Indiana,male,45-64,849288,male_45-64,5206942,0.163106867716214
18,Indiana,male,65plus,487662,male_65plus,5206942,0.0936561229220529
18,Indiana,female,18-19,94476,female_18-19,5206942,0.018144238979424
18,Indiana,female,20-44,1090976,female_20-44,5206942,0.209523363233161
18,Indiana,female,45-64,853658,female_45-64,5206942,0.163946131913895
18,Indiana,female,65plus,609539,female_65plus,5206942,0.117062759677369
19,Iowa,male,18-19,49166,male_18-19,2458518,0.0199982265738953
19,Iowa,male,20-44,528140,male_20-44,2458518,0.214820473146831
19,Iowa,male,45-64,393616,male_45-64,2458518,0.160102956333856
19,Iowa,male,65plus,253242,male_65plus,2458518,0.103005957247415
19,Iowa,female,18-19,46521,female_18-19,2458518,0.0189223751870029
19,Iowa,female,20-44,495120,female_20-44,2458518,0.201389617647705
19,Iowa,female,45-64,385830,female_45-64,2458518,0.156936007790059
19,Iowa,female,65plus,306883,female_65plus,2458518,0.124824386073236
20,Kansas,male,18-19,45847,male_18-19,2234510,0.0205176973922694
20,Kansas,male,20-44,501005,male_20-44,2234510,0.224212467162823
20,Kansas,male,45-64,351309,male_45-64,2234510,0.157219703648675
20,Kansas,male,65plus,216565,male_65plus,2234510,0.0969183400387557
20,Kansas,female,18-19,42794,female_18-19,2234510,0.0191514023208668
20,Kansas,female,20-44,465799,female_20-44,2234510,0.208456887639796
20,Kansas,female,45-64,348762,female_45-64,2234510,0.156079856433849
20,Kansas,female,65plus,262429,female_65plus,2234510,0.117443645362965
21,Kentucky,male,18-19,60766,male_18-19,3491455,0.0174042054100654
21,Kentucky,male,20-44,739457,male_20-44,3491455,0.211790499949162
21,Kentucky,male,45-64,576291,male_45-64,3491455,0.165057547641313
21,Kentucky,male,65plus,337641,male_65plus,3491455,0.0967049553839302
21,Kentucky,female,18-19,57784,female_18-19,3491455,0.0165501202220851
21,Kentucky,female,20-44,712621,female_20-44,3491455,0.204104306084426
21,Kentucky,female,45-64,588097,female_45-64,3491455,0.168438945940876
21,Kentucky,female,65plus,418798,female_65plus,3491455,0.119949419368143
22,Louisiana,male,18-19,62944,male_18-19,3557969,0.0176909916865493
22,Louisiana,male,20-44,773541,male_20-44,3557969,0.217410831853791
22,Louisiana,male,45-64,556307,male_45-64,3557969,0.156355212763237
22,Louisiana,male,65plus,328992,male_65plus,3557969,0.0924662356529807
22,Louisiana,female,18-19,59824,female_18-19,3557969,0.0168140869130675
22,Louisiana,female,20-44,776978,female_20-44,3557969,0.218376832400732
22,Louisiana,female,45-64,585132,female_45-64,3557969,0.164456744845163
22,Louisiana,female,65plus,414251,female_65plus,3557969,0.11642906388448
23,Maine,male,18-19,17005,male_18-19,1116133,0.0152356394802412
23,Maine,male,20-44,202685,male_20-44,1116133,0.18159574172612
23,Maine,male,45-64,191271,male_45-64,1116133,0.171369361895043
23,Maine,male,65plus,134243,male_65plus,1116133,0.120275092663688
23,Maine,female,18-19,16119,female_18-19,1116133,0.014441827273273
23,Maine,female,20-44,199356,female_20-44,1116133,0.178613122271271
23,Maine,female,45-64,196209,female_45-64,1116133,0.175793565820561
23,Maine,female,65plus,159245,female_65plus,1116133,0.142675648869803
24,Maryland,male,18-19,80593,male_18-19,4801413,0.0167852671703101
24,Maryland,male,20-44,1005065,male_20-44,4801413,0.209326921054281
24,Maryland,male,45-64,793786,male_45-64,4801413,0.165323416252674
24,Maryland,male,65plus,428428,male_65plus,4801413,0.0892295663797303
24,Maryland,female,18-19,78865,female_18-19,4801413,0.0164253731141229
