GEOID,NAME,age,estimate,summary_est,percent
01001,"Autauga County, Alabama",18-19,1218,44995,0.0270696744082676
01001,"Autauga County, Alabama",20-44,18938,44995,0.420891210134459
01001,"Autauga County, Alabama",45-64,15663,44995,0.348105345038338
01001,"Autauga County, Alabama",65plus,9176,44995,0.203933770418935
01003,"Baldwin County, Alabama",18-19,5330,184024,0.028963613441725
01003,"Baldwin County, Alabama",20-44,65580,184024,0.356366560883363
01003,"Baldwin County, Alabama",45-64,63615,184024,0.345688605834022
01003,"Baldwin County, Alabama",65plus,49499,184024,0.26898121984089
01005,"Barbour County, Alabama",18-19,557,19726,0.0282368447733955
01005,"Barbour County, Alabama",20-44,7963,19726,0.403680421778364
01005,"Barbour County, Alabama",45-64,6280,19726,0.318361553279935
01005,"Barbour County, Alabama",65plus,4926,19726,0.249721180168306
01007,"Bibb County, Alabama",18-19,490,17536,0.0279425182481752
01007,"Bibb County, Alabama",20-44,7440,17536,0.424270072992701
01007,"Bibb County, Alabama",45-64,5872,17536,0.33485401459854
01007,"Bibb County, Alabama",65plus,3734,17536,0.212933394160584
01009,"Blount County, Alabama",18-19,1211,45513,0.0266077823918441
01009,"Blount County, Alabama",20-44,17630,45513,0.387361852657482
01009,"Blount County, Alabama",45-64,15881,45513,0.348933271812449
01009,"Blount County, Alabama",65plus,10791,45513,0.237097093138224
01011,"Bullock County, Alabama",18-19,632,8153,0.0775174782288728
01011,"Bullock County, Alabama",20-44,3011,8153,0.369311909726481
01011,"Bullock County, Alabama",45-64,2796,8153,0.34294124862014
01011,"Bullock County, Alabama",65plus,1714,8153,0.210229363424506
01013,"Butler County, Alabama",18-19,323,14747,0.0219027598833661
01013,"Butler County, Alabama",20-44,5674,14747,0.384756221604394
01013,"Butler County, Alabama",45-64,4729,14747,0.320675391605072
01013,"Butler County, Alabama",65plus,4021,14747,0.272665626907168
01015,"Calhoun County, Alabama",18-19,4338,91563,0.0473772156875594
01015,"Calhoun County, Alabama",20-44,36926,91563,0.403285169773817
01015,"Calhoun County, Alabama",45-64,29505,91563,0.322237148193047
01015,"Calhoun County, Alabama",65plus,20794,91563,0.227100466345576
01017,"Chambers County, Alabama",18-19,586,27421,0.0213704824769337
01017,"Chambers County, Alabama",20-44,10390,27421,0.378906677364064
01017,"Chambers County, Alabama",45-64,9615,27421,0.350643667262317
01017,"Chambers County, Alabama",65plus,6830,27421,0.249079172896685
01019,"Cherokee County, Alabama",18-19,480,20343,0.0235953399203657
01019,"Cherokee County, Alabama",20-44,6651,20343,0.326942928771568
01019,"Cherokee County, Alabama",45-64,7385,20343,0.36302413606646
01019,"Cherokee County, Alabama",65plus,5827,20343,0.286437595241606
01021,"Chilton County, Alabama",18-19,941,34435,0.0273268476840424
01021,"Chilton County, Alabama",20-44,14117,34435,0.409960795702047
01021,"Chilton County, Alabama",45-64,11772,34435,0.341861478147234
01021,"Chilton County, Alabama",65plus,7605,34435,0.220850878466676
01023,"Choctaw County, Alabama",18-19,445,10143,0.0438726215123731
01023,"Choctaw County, Alabama",20-44,3114,10143,0.30700976042591
01023,"Choctaw County, Alabama",45-64,3634,10143,0.35827664399093
01023,"Choctaw County, Alabama",65plus,2950,10143,0.290840974070788
01025,"Clarke County, Alabama",18-19,560,17983,0.0311405216037369
01025,"Clarke County, Alabama",20-44,6574,17983,0.365567480398154
01025,"Clarke County, Alabama",45-64,6149,17983,0.341934048823889
01025,"Clarke County, Alabama",65plus,4700,17983,0.26135794917422
01027,"Clay County, Alabama",18-19,491,11299,0.0434551730241614
01027,"Clay County, Alabama",20-44,3797,11299,0.336047437826356
01027,"Clay County, Alabama",45-64,4052,11299,0.358615806708558
01027,"Clay County, Alabama",65plus,2959,11299,0.261881582440924
01029,"Cleburne County, Alabama",18-19,281,11698,0.0240212002051633
01029,"Cleburne County, Alabama",20-44,4365,11698,0.373140707813301
01029,"Cleburne County, Alabama",45-64,4078,11698,0.348606599418704
01029,"Cleburne County, Alabama",65plus,2974,11698,0.254231492562831
01031,"Coffee County, Alabama",18-19,1212,40889,0.0296412238010223
01031,"Coffee County, Alabama",20-44,16831,40889,0.411626598840764
01031,"Coffee County, Alabama",45-64,13681,40889,0.334588764704444
01031,"Coffee County, Alabama",65plus,9165,40889,0.22414341265377
01033,"Colbert County, Alabama",18-19,1286,45293,0.028392908396441
01033,"Colbert County, Alabama",20-44,17047,45293,0.376371624754377
01033,"Colbert County, Alabama",45-64,15507,45293,0.342370785772636
01033,"Colbert County, Alabama",65plus,11453,45293,0.252864681076546
01035,"Conecuh County, Alabama",18-19,331,9208,0.0359470026064292
01035,"Conecuh County, Alabama",20-44,3019,9208,0.327867072111208
01035,"Conecuh County, Alabama",45-64,3144,9208,0.341442224152911
01035,"Conecuh County, Alabama",65plus,2714,9208,0.294743701129453
01037,"Coosa County, Alabama",18-19,247,8671,0.0284857571214393
01037,"Coosa County, Alabama",20-44,2516,8671,0.290162611002191
01037,"Coosa County, Alabama",45-64,3385,8671,0.390381732210818
01037,"Coosa County, Alabama",65plus,2523,8671,0.290969899665552
01039,"Covington County, Alabama",18-19,925,29315,0.0315538120416169
01039,"Covington County, Alabama",20-44,10258,29315,0.349923247484223
01039,"Covington County, Alabama",45-64,9967,29315,0.339996588777077
01039,"Covington County, Alabama",65plus,8165,29315,0.278526351697083
01041,"Crenshaw County, Alabama",18-19,232,10185,0.0227785959744723
01041,"Crenshaw County, Alabama",20-44,3814,10185,0.374472263132057
01041,"Crenshaw County, Alabama",45-64,3528,10185,0.34639175257732
01041,"Crenshaw County, Alabama",65plus,2611,10185,0.256357388316151
01043,"Cullman County, Alabama",18-19,2093,68612,0.0305048679531277
01043,"Cullman County, Alabama",20-44,26355,68612,0.384116481082026
01043,"Cullman County, Alabama",45-64,23582,68612,0.343700810353874
01043,"Cullman County, Alabama",65plus,16582,68612,0.241677840610972
01045,"Dale County, Alabama",18-19,1049,38052,0.0275675391569431
01045,"Dale County, Alabama",20-44,16198,38052,0.425680647534952
01045,"Dale County, Alabama",45-64,12147,38052,0.319221065909808
01045,"Dale County, Alabama",65plus,8658,38052,0.227530747398297
01047,"Dallas County, Alabama",18-19,987,29288,0.0336998087954111
01047,"Dallas County, Alabama",20-44,10858,29288,0.370732040426113
01047,"Dallas County, Alabama",45-64,10003,29288,0.341539196940727
01047,"Dallas County, Alabama",65plus,7440,29288,0.254028953837749
01049,"DeKalb County, Alabama",18-19,1730,54534,0.0317233285656655
01049,"DeKalb County, Alabama",20-44,21809,54534,0.399915648952947
01049,"DeKalb County, Alabama",45-64,18621,54534,0.341456705908241
01049,"DeKalb County, Alabama",65plus,12374,54534,0.226904316573147
01051,"Elmore County, Alabama",18-19,2317,68631,0.033760254112573
01051,"Elmore County, Alabama",20-44,29017,68631,0.422797278197899
01051,"Elmore County, Alabama",45-64,23464,68631,0.341886319593187
01051,"Elmore County, Alabama",65plus,13833,68631,0.201556148096341
01053,"Escambia County, Alabama",18-19,1130,28420,0.0397607318789585
01053,"Escambia County, Alabama",20-44,11152,28420,0.392399718508093
01053,"Escambia County, Alabama",45-64,9308,28420,0.327515833919775
01053,"Escambia County, Alabama",65plus,6830,28420,0.240323715693174
01055,"Etowah County, Alabama",18-19,2142,81184,0.026384509262909
01055,"Etowah County, Alabama",20-44,30963,81184,0.381392885297596
01055,"Etowah County, Alabama",45-64,27997,81184,0.344858592826173
01055,"Etowah County, Alabama",65plus,20082,81184,0.247364012613323
01057,"Fayette County, Alabama",18-19,452,12861,0.03514501205194
01057,"Fayette County, Alabama",20-44,4508,12861,0.350517067102092
01057,"Fayette County, Alabama",45-64,4440,12861,0.345229764404012
01057,"Fayette County, Alabama",65plus,3461,12861,0.269108156441956
01059,"Franklin County, Alabama",18-19,935,24091,0.0388111742974555
01059,"Franklin County, Alabama",20-44,9497,24091,0.394213606741107
01059,"Franklin County, Alabama",45-64,8200,24091,0.340376074052551
01059,"Franklin County, Alabama",65plus,5459,24091,0.226599144908887
01061,"Geneva County, Alabama",18-19,539,20813,0.0258972757411233
01061,"Geneva County, Alabama",20-44,7474,20813,0.359102484024408
01061,"Geneva County, Alabama",45-64,7386,20813,0.354874357372796
01061,"Geneva County, Alabama",65plus,5414,20813,0.260125882861673
01063,"Greene County, Alabama",18-19,149,6010,0.0247920133111481
01063,"Greene County, Alabama",20-44,2189,6010,0.364226289517471
01063,"Greene County, Alabama",45-64,1848,6010,0.307487520798669
01063,"Greene County, Alabama",65plus,1824,6010,0.303494176372712
01065,"Hale County, Alabama",18-19,366,11288,0.0324238128986534
01065,"Hale County, Alabama",20-44,4339,11288,0.384390503189228
01065,"Hale County, Alabama",45-64,3680,11288,0.326009922041106
01065,"Hale County, Alabama",65plus,2903,11288,0.257175761871014
01067,"Henry County, Alabama",18-19,339,13765,0.0246276788957501
01067,"Henry County, Alabama",20-44,4868,13765,0.353650563022158
01067,"Henry County, Alabama",45-64,4605,13765,0.334544133672357
01067,"Henry County, Alabama",65plus,3953,13765,0.287177624409735
01069,"Houston County, Alabama",18-19,2355,82570,0.0285212546929878
01069,"Houston County, Alabama",20-44,33153,82570,0.401513867021921
01069,"Houston County, Alabama",45-64,27612,82570,0.334407169674216
01069,"Houston County, Alabama",65plus,19450,82570,0.235557708610876
01071,"Jackson County, Alabama",18-19,1060,41766,0.0253794952832447
01071,"Jackson County, Alabama",20-44,15377,41766,0.368170282047599
01071,"Jackson County, Alabama",45-64,14512,41766,0.347459656179668
01071,"Jackson County, Alabama",65plus,10817,41766,0.258990566489489
01073,"Jefferson County, Alabama",18-19,18732,519919,0.0360286890842612
