GEOID,NAME,age,estimate,summary_est,percent
01,Alabama,18-19,147965,3917450,0.0377707437235957
01,Alabama,20-44,1606037,3917450,0.4099700059988
01,Alabama,45-64,1292414,3917450,0.329912060141163
01,Alabama,65plus,871034,3917450,0.222347190136441
02,Alaska,18-19,18365,555483,0.0330613178081057
02,Alaska,20-44,265456,555483,0.477883211547428
02,Alaska,45-64,177502,555483,0.31954533262044
02,Alaska,65plus,94160,555483,0.169510138024026
04,Arizona,18-19,198236,5578819,0.035533685534519
04,Arizona,20-44,2378955,5578819,0.426426274091344
04,Arizona,45-64,1703826,5578819,0.305409800891551
04,Arizona,65plus,1297802,5578819,0.232630239482586
05,Arkansas,18-19,84336,2321401,0.0363297853322196
05,Arkansas,20-44,973142,2321401,0.419204609630133
05,Arkansas,45-64,744489,2321401,0.320706762855707
05,Arkansas,65plus,519434,2321401,0.223758842181941
06,California,18-19,1064062,30581534,0.0347942650620469
06,California,20-44,13910033,30581534,0.454850727893506
06,California,45-64,9742139,30581534,0.318562796751791
06,California,65plus,5865300,30581534,0.191792210292656
08,Colorado,18-19,156268,4529480,0.0345002075293411
08,Colorado,20-44,2107890,4529480,0.465371300899883
08,Colorado,45-64,1409969,4529480,0.31128716762189
08,Colorado,65plus,855353,4529480,0.188841323948886
09,Connecticut,18-19,106259,2868440,0.0370441773228654
09,Connecticut,20-44,1135909,2868440,0.396002356681681
09,Connecticut,45-64,997164,2868440,0.347632859672854
09,Connecticut,65plus,629108,2868440,0.2193206063226
10,Delaware,18-19,26747,786933,0.0339889164642987
10,Delaware,20-44,305629,786933,0.388379951025056
10,Delaware,45-64,259541,786933,0.329813338619679
10,Delaware,65plus,195016,786933,0.247817793890967
11,District of Columbia,18-19,16682,546531,0.0305234286801664
11,District of Columbia,20-44,305797,546531,0.559523613482126
11,District of Columbia,45-64,139601,546531,0.255431073443226
11,District of Columbia,65plus,84451,546531,0.154521884394481
12,Florida,18-19,516506,17399100,0.0296857883453742
12,Florida,20-44,6725189,17399100,0.386525107620509
12,Florida,45-64,5636758,17399100,0.32396836617986
12,Florida,65plus,4520647,17399100,0.259820737854257
13,Georgia,18-19,308078,8209780,0.0375257315055945
13,Georgia,20-44,3638416,8209780,0.443180694245156
13,Georgia,45-64,2722841,8209780,0.331658217394376
13,Georgia,65plus,1540445,8209780,0.187635356854873
15,Hawaii,18-19,30863,1145270,0.026948230548255
15,Hawaii,20-44,479836,1145270,0.418971945480105
15,Hawaii,45-64,354863,1145270,0.309850952177216
15,Hawaii,65plus,279708,1145270,0.244228871794424
16,Idaho,18-19,61181,1399330,0.0437216382125732
16,Idaho,20-44,604529,1399330,0.432013177735059
16,Idaho,45-64,431077,1399330,0.308059571366297
16,Idaho,65plus,302543,1399330,0.216205612686071
17,Illinois,18-19,341132,9937157,0.0343289333156354
17,Illinois,20-44,4258569,9937157,0.428550036997503
17,Illinois,45-64,3266549,9937157,0.328720679365336
17,Illinois,65plus,2070907,9937157,0.208400350321526
18,Indiana,18-19,196298,5206942,0.0376992868366884
18,Indiana,20-44,2210497,5206942,0.42452883093378
18,Indiana,45-64,1702946,5206942,0.327052999630109
18,Indiana,65plus,1097201,5206942,0.210718882599422
