GEOID,NAME,variable,summary_est,estimate,percent
01001,"Autauga County, Alabama",nhwhite,58761,42635,0.7255662769524
01001,"Autauga County, Alabama",nhblk,58761,11496,0.195639965283096
01001,"Autauga County, Alabama",nhother,58761,2130,0.0362485321897177
01001,"Autauga County, Alabama",nhasn,58761,636,0.0108235053862256
01001,"Autauga County, Alabama",hisp,58761,1864,0.0317217201885604
01003,"Baldwin County, Alabama",nhwhite,233420,192161,0.823241367492074
01003,"Baldwin County, Alabama",nhblk,233420,19318,0.0827606888869848
01003,"Baldwin County, Alabama",nhother,233420,8685,0.0372076086025191
01003,"Baldwin County, Alabama",nhasn,233420,2046,0.00876531573986805
01003,"Baldwin County, Alabama",hisp,233420,11210,0.0480250192785537
01005,"Barbour County, Alabama",nhwhite,24877,11084,0.445552116412751
01005,"Barbour County, Alabama",nhblk,24877,11662,0.468786429231821
01005,"Barbour County, Alabama",nhother,24877,803,0.0322788117538288
01005,"Barbour County, Alabama",nhasn,24877,126,0.00506491940346505
01005,"Barbour County, Alabama",hisp,24877,1202,0.0483177231981348
01007,"Bibb County, Alabama",nhwhite,22251,16520,0.742438542087996
01007,"Bibb County, Alabama",nhblk,22251,4598,0.206642398094468
01007,"Bibb County, Alabama",nhother,22251,414,0.0186059053525684
01007,"Bibb County, Alabama",nhasn,22251,69,0.00310098422542807
01007,"Bibb County, Alabama",hisp,22251,650,0.0292121702395398
01009,"Blount County, Alabama",nhwhite,59077,50614,0.856746280278281
01009,"Blount County, Alabama",nhblk,59077,729,0.012339827682516
01009,"Blount County, Alabama",nhother,59077,1913,0.0323814682532966
01009,"Blount County, Alabama",nhasn,59077,100,0.00169270612928889
01009,"Blount County, Alabama",hisp,59077,5721,0.0968397176566176
01011,"Bullock County, Alabama",nhwhite,10328,2125,0.205751355538342
01011,"Bullock County, Alabama",nhblk,10328,7117,0.689097598760651
01011,"Bullock County, Alabama",nhother,10328,136,0.0131680867544539
01011,"Bullock County, Alabama",nhasn,10328,43,0.00416343919442293
01011,"Bullock County, Alabama",hisp,10328,907,0.0878195197521301
01013,"Butler County, Alabama",nhwhite,18981,9655,0.50866656129814
01013,"Butler County, Alabama",nhblk,18981,8462,0.44581423528792
01013,"Butler County, Alabama",nhother,18981,299,0.0157525946999631
01013,"Butler County, Alabama",nhasn,18981,243,0.0128022759601707
01013,"Butler County, Alabama",hisp,18981,322,0.0169643327538064
01015,"Calhoun County, Alabama",nhwhite,116162,81851,0.704628019490023
01015,"Calhoun County, Alabama",nhblk,116162,25204,0.216972848263632
01015,"Calhoun County, Alabama",nhother,116162,3663,0.0315335479761023
01015,"Calhoun County, Alabama",nhasn,116162,708,0.00609493638194935
01015,"Calhoun County, Alabama",hisp,116162,4736,0.0407706478882939
01017,"Chambers County, Alabama",nhwhite,34612,18794,0.542990870218421
01017,"Chambers County, Alabama",nhblk,34612,14107,0.407575407373165
01017,"Chambers County, Alabama",nhother,34612,522,0.0150814746330752
01017,"Chambers County, Alabama",nhasn,34612,60,0.00173350283138796
01017,"Chambers County, Alabama",hisp,34612,1129,0.0326187449439501
01019,"Cherokee County, Alabama",nhwhite,25069,22749,0.907455423032431
01019,"Cherokee County, Alabama",nhblk,25069,1000,0.0398899038653317
01019,"Cherokee County, Alabama",nhother,25069,820,0.032709721169572
01019,"Cherokee County, Alabama",nhasn,25069,21,0.000837687981171965
01019,"Cherokee County, Alabama",hisp,25069,479,0.0191072639514939
01021,"Chilton County, Alabama",nhwhite,45140,35714,0.791182986264953
01021,"Chilton County, Alabama",nhblk,45140,4254,0.0942401417811254
