GEOID,NAME,variable,summary_est,estimate,percent
01,Alabama,nhwhite,5028092,3247262,0.645823902983478
01,Alabama,nhblk,5028092,1318388,0.262204430626966
01,Alabama,nhother,5028092,160936,0.0320073697935519
01,Alabama,nhasn,5028092,69099,0.0137425886399851
01,Alabama,hisp,5028092,232407,0.0462217079560199
02,Alaska,nhwhite,734821,428802,0.583546196964975
02,Alaska,nhblk,734821,22400,0.0304836143768346
02,Alaska,nhother,734821,182222,0.247981481204266
02,Alaska,nhasn,734821,46507,0.0632902434742611
02,Alaska,hisp,734821,54890,0.0746984639796631
04,Arizona,nhwhite,7172282,3801121,0.529973723844099
04,Arizona,nhblk,7172282,307726,0.0429048941466607
04,Arizona,nhother,7172282,532058,0.0741825265654641
04,Arizona,nhasn,7172282,233864,0.0326066376085045
04,Arizona,hisp,7172282,2297513,0.320332217835272
05,Arkansas,nhwhite,3018669,2103784,0.696924372960401
05,Arkansas,nhblk,3018669,454728,0.150638576140677
05,Arkansas,nhother,3018669,170243,0.0563967099407057
05,Arkansas,nhasn,3018669,46593,0.0154349483166256
05,Arkansas,hisp,3018669,243321,0.0806053926415914
06,California,nhwhite,39356104,13848294,0.351871567368559
06,California,nhblk,39356104,2102510,0.0534227168420939
06,California,nhother,39356104,1925721,0.0489306817565072
06,California,nhasn,39356104,5861649,0.148938751660988
06,California,hisp,39356104,15617930,0.396836282371853
08,Colorado,nhwhite,5770790,3821584,0.662228914931924
08,Colorado,nhblk,5770790,221211,0.0383328799003256
08,Colorado,nhother,5770790,272895,0.0472890193543692
08,Colorado,nhasn,5770790,181338,0.0314234272950497
08,Colorado,hisp,5770790,1273762,0.220725758518331
09,Connecticut,nhwhite,3611317,2308644,0.6392803511849
09,Connecticut,nhblk,3611317,355970,0.0985706876466397
09,Connecticut,nhother,3611317,149746,0.0414657588907316
09,Connecticut,nhasn,3611317,169549,0.0469493539337588
09,Connecticut,hisp,3611317,627408,0.17373384834397
10,Delaware,nhwhite,993635,597532,0.601359654198977
10,Delaware,nhblk,993635,213516,0.214883734973104
10,Delaware,nhother,993635,43497,0.0437756318970246
10,Delaware,nhasn,993635,40394,0.0406527547842014
10,Delaware,hisp,993635,98696,0.0993282241466937
11,District of Columbia,nhwhite,670587,243730,0.363457687071178
11,District of Columbia,nhblk,670587,291880,0.435260450918375
11,District of Columbia,nhother,670587,31297,0.0466710508852692
11,District of Columbia,nhasn,670587,26512,0.0395355114250649
11,District of Columbia,hisp,670587,77168,0.115075299700114
12,Florida,nhwhite,21634529,11242515,0.519656101595741
12,Florida,nhblk,21634529,3232871,0.149431078439471
12,Florida,nhother,21634529,824032,0.0380887423063382
12,Florida,nhasn,21634529,596828,0.0275868265955778
12,Florida,hisp,21634529,5738283,0.265237251062873
13,Georgia,nhwhite,10722325,5445155,0.507833422322118
13,Georgia,nhblk,10722325,3334095,0.310948884686857
13,Georgia,nhother,10722325,403423,0.0376245823550396
13,Georgia,nhasn,10722325,461195,0.0430125928844724
13,Georgia,hisp,10722325,1078457,0.100580517751514
15,Hawaii,nhwhite,1450589,305224,0.21041383879238
15,Hawaii,nhblk,1450589,26664,0.0183814988256494
15,Hawaii,nhother,1450589,430317,0.296649843615249
