GEOID,NAME,sex,estimate,summary_est,percent
01001,"Autauga County, Alabama",male,21711,44995,0.482520280031115
01001,"Autauga County, Alabama",female,23284,44995,0.517479719968885
01003,"Baldwin County, Alabama",male,88794,184024,0.482513150458636
01003,"Baldwin County, Alabama",female,95230,184024,0.517486849541364
01005,"Barbour County, Alabama",male,10437,19726,0.529098651525905
01005,"Barbour County, Alabama",female,9289,19726,0.470901348474095
01007,"Bibb County, Alabama",male,9437,17536,0.538150091240876
01007,"Bibb County, Alabama",female,8099,17536,0.461849908759124
01009,"Blount County, Alabama",male,22682,45513,0.49836310504691
01009,"Blount County, Alabama",female,22831,45513,0.50163689495309
01011,"Bullock County, Alabama",male,4503,8153,0.552312032380719
01011,"Bullock County, Alabama",female,3650,8153,0.447687967619281
01013,"Butler County, Alabama",male,6695,14747,0.453990642164508
01013,"Butler County, Alabama",female,8052,14747,0.546009357835492
01015,"Calhoun County, Alabama",male,43660,91563,0.476830160654413
01015,"Calhoun County, Alabama",female,47903,91563,0.523169839345587
01017,"Chambers County, Alabama",male,12958,27421,0.472557528901207
01017,"Chambers County, Alabama",female,14463,27421,0.527442471098793
01019,"Cherokee County, Alabama",male,9956,20343,0.489406675514919
01019,"Cherokee County, Alabama",female,10387,20343,0.510593324485081
01021,"Chilton County, Alabama",male,16810,34435,0.488166110062437
01021,"Chilton County, Alabama",female,17625,34435,0.511833889937564
01023,"Choctaw County, Alabama",male,4717,10143,0.465049788031155
01023,"Choctaw County, Alabama",female,5426,10143,0.534950211968846
01025,"Clarke County, Alabama",male,8417,17983,0.468053161319024
01025,"Clarke County, Alabama",female,9566,17983,0.531946838680977
01027,"Clay County, Alabama",male,5514,11299,0.48800778829985
01027,"Clay County, Alabama",female,5785,11299,0.51199221170015
01029,"Cleburne County, Alabama",male,5812,11698,0.496837066165156
01029,"Cleburne County, Alabama",female,5886,11698,0.503162933834844
01031,"Coffee County, Alabama",male,20117,40889,0.491990510895351
01031,"Coffee County, Alabama",female,20772,40889,0.508009489104649
01033,"Colbert County, Alabama",male,21578,45293,0.476409158148058
01033,"Colbert County, Alabama",female,23715,45293,0.523590841851942
01035,"Conecuh County, Alabama",male,4399,9208,0.477736750651607
01035,"Conecuh County, Alabama",female,4809,9208,0.522263249348393
01037,"Coosa County, Alabama",male,4351,8671,0.501787567754584
