address_id,street1,street2,city,state,zipcode,FIPS,county,longitude,latitude
1371,10855 US-1,"",Port St Lucie,FL,34952,12111,St. Lucie,-80.2875609,27.2652663
49,1701 SE 14th St.,"",Bentonville,AR,72712,05007,Benton,-94.1888844,36.3576464
50,20710 Keokuk Avenue,"",Lakeville,MN,55044,27037,Dakota,-93.2971478,44.6503646
51,2610 W Haven Rd,"",Lawrenceville,IL,62439,17101,Lawrence,-87.7001719,38.7252461
52,1030 Delta Blvd.,"",Atlanta,GA,30354,13121,Fulton,-84.4242419,33.6562452
53,501 HAMPTON POINTE B,"",HILLSBOROUGH,NC,27278,37135,Orange,-79.0856052,36.0559132
54,3141 GARDEN RD,"",BURLINGTON,NC,27215,37001,Alamance,-79.4990363,36.0722111
55,304 E ARBOR LN,"",EDEN,NC,27288,37157,Rockingham,-79.7345982,36.4875842
56,1130 S MAIN ST,"",KERNERSVILLE,NC,27284,37067,Forsyth,-80.1032161,36.1105849
57,6711 NC HIGHWAY 135,"",MAYODAN,NC,27027,37157,Rockingham,-79.9357095,36.4201136
58,880 N HIGHWAY 190,"",COVINGTON,LA,70433,22103,St. Tammany,-90.0784728,30.443301
60,275 WALTON DR,"",WAVERLY,TN,37185,47085,Humphreys,-87.8327177,36.0842603
61,216 DOVER ROAD,"",CLARKSVILLE,TN,37042,47125,Montgomery,-87.3963439,36.5492689
62,2130 N LOCUST AVE,"",LAWRENCEBURG,TN,38464,47099,Lawrence,-87.3149694,35.2733882
63,10530 ABERCORN ST,"",SAVANNAH,GA,31419,13051,Chatham,-81.1321257,31.9839283
64,1680 FORT CAMPBELL BLVD,"",CLARKSVILLE,TN,37042,47125,Montgomery,-87.4129765,36.580473
65,4331 HIGHWAY 66 S,"",ROGERSVILLE,TN,37857,47073,Hawkins,-83.0196962,36.396454
66,2518 HILLSBORO BLVD,"",MANCHESTER,TN,37355,47031,Coffee,-86.0474007,35.4525475
67,1500 US HIGHWAY 62 W,"",PRINCETON,KY,42445,21033,Caldwell,-87.9184646,37.1106761
68,2478 NEW SALEM HIGHWAY,"",MURFREESBORO,TN,37128,47149,Rutherford,-86.4468236,35.8133377
69,475 CROCKETT TRACE DR,"",MORRISTOWN,TN,37813,47063,Hamblen,-83.2549484,36.2138171
70,930 MOUNT PROSPECT PLZ,"",MT PROSPECT,IL,60056,17031,Cook,-87.9235215,42.0691978
71,630 Collins Hill Rd.,"",Lawrenceville,GA,30046,13135,Gwinnett,-83.9965842,33.9712743
72,6065 Jonesboro Rd.,"",Morrow,GA,30260,13063,Clayton,-84.3402369,33.5896044
73,1550 Scenic Hwy. N,"",Snellville,GA,30078,13135,Gwinnett,-84.0079099,33.8866057
74,125 Pavilion Pkwy.,"",Fayetteville,GA,30214,13113,Fayette,-84.4433582,33.4812233
75,13427 Hwy. 27,"",Trion,GA,30753,13055,Chattooga,-85.3165297,34.5217837
76,2545 E Walnut Ave.,"",Dalton,GA,30721,13313,Whitfield,-84.930046,34.7678197
77,815 Shugart Rd.,"",Dalton,GA,30720,13313,Whitfield,-84.9991465,34.7866799
78,1455 Hwy. 441 S,"",Clayton,GA,30525,13241,Rabun,-83.4041419,34.8596415
79,3200 FT HENRY DRIVE,"",KINGSPORT,TN,37664,47163,Sullivan,-82.5191439,36.5073367
80,1400 Hudson Bridge Rd.,"",Stockbridge,GA,30281,13151,Henry,-84.2356181,33.5073484
81,2427 Gresham Rd. SE,"",Atlanta,GA,30316,13089,DeKalb,-84.3129485,33.7190179
82,2940 Anvil Block Rd.,"",Ellenwood,GA,30294,13063,Clayton,-84.2928852,33.6362339
83,10300 Industrial Blvd. NE,"",Covington,GA,30014,13217,Newton,-83.8303979,33.6110906
84,1825 Rockbridge Rd.,"",Stone Mountain,GA,30087,13135,Gwinnett,-84.1265616,33.8237472
85,3580 Memorial Dr.,"",Decatur,GA,30032,13089,DeKalb,-84.268537,33.7573482
86,1681 Eatonton Rd.,"",Madison,GA,30650,13211,Morgan,-83.4798579,33.566127
87,1911 Epps Bridge Pkwy.,"",Athens,GA,30606,13219,Oconee,-83.4450131,33.9198397
88,3875 Mundy Mill Rd.,"",Oakwood,GA,30566,13139,Hall,-83.8748146,34.2313788
89,1133  EW Connector SW,"",Austell,GA,30106,13067,Cobb,-84.5882911,33.8558762
90,1100 Thornton Rd.,"",Lithia Springs,GA,30122,13097,Douglas,-84.6011365,33.7745844
91,6520 Earnest Barrett Pkwy.,"",Marietta,GA,30064,13067,Cobb,-84.6363037,33.8674482
92,3100 Johnson Ferry Rd.,"",Marietta,GA,30062,13067,Cobb,-84.4223545,34.0233324
93,1871 Chamblee Tucker Rd.,"",Chamblee,GA,30341,13089,DeKalb,-84.3113042,33.8887053
94,210 Cobb Pkwy. S,"",Marietta,GA,30060,13067,Cobb,-84.5215577,33.9458435
95,970 Mansell Rd.,"",Roswell,GA,30076,13121,Fulton,-84.3333338,34.0452953
96,4725 Ashford Dunwoody Rd.,"",Atlanta,GA,30338,13089,DeKalb,-84.3332342,33.9333209
98,5200 Windward Pkwy.,"",Alpharetta,GA,30004,13121,Fulton,-84.2742959,34.0940726
99,38020 US HIGHWAY 18,"",PRAIRIE DU CHIEN,WI,53821,55023,Crawford,-91.1079462,43.0179255
100,5455 Atlanta Hwy.,"",Alpharetta,GA,30004,13117,Forsyth,-84.2499453,34.1504077
101,5033 TRANSIT RD,"",Williamsville,NY,14221,36029,Erie,-78.693939,42.983052
102,3250 Sardis Church Rd,"",Buford,GA,30519,13135,Gwinnett,-83.9219861,34.078382
103,440 Atlanta Hwy. NW,"",Winder,GA,30680,13013,Barrow,-83.7565976,33.9899889
104,3615 Marietta Hwy.,"",Dallas,GA,30157,13223,Paulding,-84.7303378,33.9355883
105,6435 Bells Ferry Rd.,"",Woodstock,GA,30189,13057,Cherokee,-84.5846087,34.1128055
106,2795 Chastain Meadows Pkwy.,"",Marietta,GA,30066,13067,Cobb,-84.5571065,34.019294
107,3826 Cobb Pkwy. NW,"",Acworth,GA,30101,13067,Cobb,-84.6965901,34.0465323
108,855 N Church St.,"",Thomaston,GA,30286,13293,Upson,-84.3339912,32.9126065
109,502 Booth Rd.,"",Warner Robins,GA,31088,13153,Houston,-83.6123929,32.5900576
110,1401 Gray Hwy.,"",Macon,GA,31211,13021,Bibb,-83.6108536,32.8631069
111,6020 Harrison Rd.,"",Macon,GA,31206,13021,Bibb,-83.7184607,32.8084973
112,2925 Glendale Ave.,"",Toledo,OH,43614,39095,Lucas,-83.6131902,41.6099963
113,3721 Navarre Ave.,"",Oregon,OH,43616,39095,Lucas,-83.4593534,41.6397534
114,5821 W Central Ave.,"",Toledo,OH,43615,39095,Lucas,-83.6803835,41.6744686
115,131 W Gypsy Lane Rd.,"",Bowling Green,OH,43402,39173,Wood,-83.6522985,41.3541106
116,1355 S McCord Rd.,"",Holland,OH,43528,39095,Lucas,-83.6991551,41.616668
117,10400 Fremont Pk.,"",Perrysburg,OH,43551,39173,Wood,-83.593512,41.549809
118,250 Tallmadge Rd.,"",Kent,OH,44240,39133,Portage,-81.3843855,41.0984922
119,6067 N Ridge Rd.,"",Madison,OH,44057,39085,Lake,-81.0720764,41.8046139
120,9303 Mentor Ave.,"",Mentor,OH,44060,39085,Lake,-81.3070604,41.6783829
121,10000 Brookpark Rd.,"",Cleveland,OH,44130,39035,Cuyahoga,-81.7538945,41.420266
122,3606 Mayfield Rd.,"",Cleveland Heights,OH,44118,39035,Cuyahoga,-81.549783,41.5178097
123,8303 W Ridgewood Dr.,"",Parma,OH,44129,39035,Cuyahoga,-81.7432766,41.3840775
124,3400 Steelyard Dr.,"",Cleveland,OH,44109,39035,Cuyahoga,-81.6928838,41.4615191
125,2826 E Harbor Rd.,"",Port Clinton,OH,43452,39123,Ottawa,-82.863221,41.5199291
126,2052 N State Route 53,"",Fremont,OH,43420,39143,Sandusky,-83.1198285,41.3746432
127,2887 S Arlington Rd.,"",Akron,OH,44312,39153,Summit,-81.489034,40.9930334
128,3750 W Market St.,"",Fairlawn,OH,44333,39153,Summit,-81.6350615,41.1330697
129,4490 Gallia St.,"",New Boston,OH,45662,39145,Scioto,-82.9251127,38.753021
130,11217 State Route 41,"",West Union,OH,45693,39001,Adams,-83.5648056,38.7844778
131,1530 Walmart Dr,"",Lebanon,OH,45036,39165,Warren,-84.1736112,39.4563033
132,5303 Bowen Drive,"",Mason,OH,45040,39165,Warren,-84.3191555,39.3122642
133,201 Chamber Dr.,"",Milford,OH,45150,39025,Clermont,-84.2802188,39.159445
134,70 Hospitality Dr.,"",Xenia,OH,45385,39057,Greene,-83.9690736,39.6902001
135,200 S Tuttle Rd.,"",Springfield,OH,45505,39023,Clark,-83.7468063,39.9208918
136,1405 MIDDLE RD,"",FULTON,KY,42041,21075,Fulton,-88.900214,36.517409
137,3465 York Commons Blvd.,"",Dayton,OH,45414,39113,Montgomery,-84.1964308,39.8459181
138,2400 Michigan St.,"",Sidney,OH,45365,39149,Shelby,-84.1926317,40.290553
139,2100 N Bechtle Ave.,"",Springfield,OH,45504,39023,Clark,-83.8274766,39.9508227
140,1505 Main St.,"",Hamilton,OH,45013,39017,Butler,-84.6004881,39.4257276
141,100A E Washington Jackson Rd.,"",Eaton,OH,45320,39135,Preble,-84.633985,39.768217
142,2900 Towne Blvd.,"",Middletown,OH,45044,39165,Warren,-84.3269752,39.4888401
143,1275 E 2nd St.,"",Franklin,OH,45005,39165,Warren,-84.2776051,39.5663433
144,1701 W Dorothy Ln.,"",Moraine,OH,45439,39113,Montgomery,-84.2018575,39.7111517
145,1501 Wagoner Ave.,"",Greenville,OH,45331,39037,Darke,-84.617496,40.125628
146,7725 Hoke Rd.,"",Clayton,OH,45315,39113,Montgomery,-84.3348287,39.8563034
147,8288 Cincinnati Dayton Rd.,"",West Chester,OH,45069,39017,Butler,-84.3917913,39.3454938
148,3201 Princeton Rd.,"",Hamilton,OH,45011,39017,Butler,-84.507963,39.388297
149,2801 Cunningham Rd.,"",Cincinnati,OH,45241,39061,Hamilton,-84.429599,39.2499777
150,10240 Colerain Ave.,"",Cincinnati,OH,45251,39061,Hamilton,-84.5978641,39.260744
151,4370 E Gate Square Dr.,"",Cincinnati,OH,45245,39025,Clermont,-84.2697909,39.0900357
152,1815 E Ohio Pk.,"",Amelia,OH,45102,39025,Clermont,-84.1985627,39.01591
153,100 Commercial Ln.,"",Pineville,MO,64856,29119,McDonald,-94.2781972,36.5079077
154,2705 Grand Ave.,"",Carthage,MO,64836,29097,Jasper,-94.3122131,37.1420761
155,1501 S Range Line Rd.,"",Joplin,MO,64804,29097,Jasper,-94.4727676,37.072882
156,1212 S Madison St.,"",Webb City,MO,64870,29097,Jasper,-94.4783666,37.133589
157,3200 Lusk Dr.,"",Neosho,MO,64850,29145,Newton,-94.3973143,36.8390947
158,301 E Cooper St.,"",Warrensburg,MO,64093,29101,Johnson,-93.738074,38.7795491
159,1712 E Ohio St.,"",Clinton,MO,64735,29083,Henry,-93.7506948,38.3628602
160,400 W. Fort Scott St,"",Butler,MO,64730,29013,Bates,-94.3371993,38.2566661
161,1000 Graves St.,"",Chillicothe,MO,64601,29117,Livingston,-93.5562827,39.7762668
162,1605 S Main St.,"",Maryville,MO,64468,29147,Nodaway,-94.8698914,40.3299526
163,937 Park Circle Dr.,"",Brookfield,MO,64628,29115,Linn,-93.0728033,39.7676843
164,810 S 37th St.,"",Bethany,MO,64424,29081,Harrison,-94.0170303,40.2621525
165,1180 W 19th St.,"",Higginsville,MO,64037,29107,Lafayette,-93.7366857,39.0779379
166,201 SE Salem St.,"",Oak Grove,MO,64075,29095,Jackson,-94.1221135,39.0142534
167,1700 N State Route 291,"",Harrisonville,MO,64701,29037,Cass,-94.368718,38.66659
168,401 Ontario Ave,"",Bogalusa,LA,70427,22117,Washington,-89.8648207,30.7932251
169,1965 S. Union Ave,"",Tacoma,WA,98405,53053,Pierce,-122.4786319,47.2400228
170,26090 Ingersol Dr,"",Novi,MI,48375,26125,Oakland,-83.4707489,42.4819476
171,7500 66th St.,"",Pinellas Park,FL,33781,12103,Pinellas,-82.7298762,27.8399903
172,2550 Prince St,"",Conway,AR,72034,05045,Faulkner,-92.4629644,35.0946579
173,5051 L St,"",Omaha,NE,68117,31055,Douglas,-95.9933285,41.2118114
174,161 BERLIN RD,"",CROMWELL,CT,6416,09007,Middlesex,-72.7117481,41.6053432
175,3335 Hempstead Turnpike,"",Levittown,NY,11756,36059,Nassau,-73.512845,40.7263612
176,1830 US HIGHWAY 82 W,"",TIFTON,GA,31793,13277,Tift,-83.5426636,31.4426115
177,5625 WASHINGTON AVENUE,"",MT PLEASANT,WI,53406,55101,Racine,-87.8482038,42.7185272
178,906 SW Regional Airport Blvd,"",Bentonville,AR,72712,05007,Benton,-94.2238845,36.3371628
179,3300 Broadway Bayshore Mall,"",Eureka,CA,95501,06023,Humboldt,-124.190344,40.778803
180,2844 N Broadway,"",Chicago,IL,60601,17031,Cook,-87.6443795,41.9340529
181,2551 W CERMAK RD,"",Chicago,IL,60608,17031,Cook,-87.6900199,41.8509525
182,1550 Leucadia Blvd,"",Encinitas,CA,92024,06073,San Diego,-117.2663256,33.0693082
183,1550 NASHVILLE RD,"",FRANKLIN,KY,42134,21213,Simpson,-86.5730362,36.6949225
184,6005 Madison Ave,"",Carmichael,CA,95608,06067,Sacramento,-121.3249432,38.6625877
185,2708 Rife Medical Ln.,"",Rogers,AR,72758,05007,Benton,-94.1828111,36.3100694
186,20 FERGUSON BLVD,"",DRY RIDGE,KY,41035,21081,Grant,-84.5972096,38.6793507
187,700 Marketplace Blvd,"",Hamilton,NJ,8691,34021,Mercer,-74.6343705,40.1947173
188,665 N. Murray Boulevard,"",Colorado Springs,CO,80915,08041,El Paso,-104.7468072,38.8431032
189,1442 S PARKER RD,"",DENVER,CO,80231,08005,Arapahoe,-104.8887069,39.6903241
190,5401 FAIRINGTON RD,"",LITHONIA,GA,30038,13089,DeKalb,-84.1677283,33.7006445
191,866 Niagra Falls Boulevard,"",North Tonawanda,NY,14120,36063,Niagara,-78.8437058,43.0559371
192,850 East 88th Avenue,"",Thorton,CO,80229,08001,Adams,-104.9751443,39.8549642
193,1801 Howell Mill Rd. NW,"",Atlanta,GA,30318,13121,Fulton,-84.4115832,33.8030467
194,33752 Vine Street,"",Eastlake,OH,44095,39085,Lake,-81.4470794,41.6406304
195,2721 BOCA CHICA BLVD,"",Brownsville,TX,78521,48061,Cameron,-97.4768941,25.9251573
196,201 S EDWARDS BLVD,"",LAKE GENEVA,WI,53147,55127,Walworth,-88.4123977,42.5913216
197,3130 ATLANTA HWY,"",ATHENS,GA,30606,13059,Clarke,-83.4441584,33.942676
198,735 WHITFIELD DR,"",Columbus,IN,47201,18005,Bartholomew,-85.8794909,39.2062748
199,3615 S RAINBOW BLVD,"",LAS VEGAS,NV,89103,32003,Clark,-115.246054,36.1230751
200,1111 Holton Dr,"",Le Mars,IA,51031,19149,Plymouth,-96.1876709,42.7819232
201,14441 Inglewood Ave,"",Hawthorne,CA,90250,06037,Los Angeles,-118.3623568,33.9001875
202,973 N Harrison Ave,"",Cary,NC,27513,37183,Wake,-78.7841007,35.8013549
203,2500 JAMIE LANE,"",Lincoln,NE,68512,31109,Lancaster,-96.6848639,40.7296647
204,7809 VANCOUVER PLAZA,"",Vancouver,WA,98662,53011,Clark,-122.5914597,45.650508
205,4700 Cutler Ave. Ne,"",Albuquerque,NM,87110,35001,Bernalillo,-106.5921204,35.104666
206,1155 US Hwy 65 North,"",Conway,AR,72032,05045,Faulkner,-92.4369037,35.1086464
207,200 S State Road 434,"",Altamonte Springs,FL,32714,12117,Seminole,-81.4202456,28.6601735
208,1445 East Foothill Blvd,"",Upland,CA,91786,06071,San Bernardino,-117.6300289,34.1068864
209,3795 Buford Dr,"",Buford,GA,30519,13135,Gwinnett,-83.9899676,34.0888296
210,1840 S Black Horse Pike,"",Williamstown,NJ,8094,34015,Gloucester,-74.9614271,39.6623759
211,10912 Katella Avenue,"",Garden Grove,CA,92840,06059,Orange,-117.9423558,33.8009868
212,3245 Lawrenceville Suwanee Rd.,"",Suwanee,GA,30024,13135,Gwinnett,-84.0507722,34.0363001
213,1400 Lawrenceville Hwy.,"",Lawrenceville,GA,30044,13135,Gwinnett,-84.0250038,33.9364832
21,780 Johnson Ferry Rd,"",atlanta,GA,30342,13121,Fulton,-84.3623857,33.9075876
214,406 S Walton Blvd,"",Bentonville,AR,72712,05007,Benton,-94.2250457,36.3684255
215,1185 DOLLY PARTON PKWY,"",SEVIERVILLE,TN,37862,47155,Sevier,-83.529841,35.8621645
216,2004 S Pleasant St,"",Springdale,AR,72764,05143,Washington,-94.1467381,36.1662466
