state,mean,median,lower,upper
AL,54.6011383169578,54.6139932462138,52.0610426365226,57.1359930991765
AK,47.0430579016282,47.0847966074218,40.8497105429553,52.6197718921823
AZ,47.9971992545546,47.9783279235438,41.5897205105668,54.9304799914462
AR,54.0711275397563,54.0852926918286,51.1686539259565,56.7723271454756
CA,46.7426682536978,46.7975990454124,43.3348754274115,49.8547323106699
CO,46.0175771548186,46.0253720638264,42.2150099207829,49.5463531555206
CT,49.4948642928045,49.5985032222603,44.7514740781256,54.1658550720746
DE,52.0423370848747,52.0725956801912,44.4176196818698,59.0867275723415
DC,46.0333431479007,45.4558440984548,35.4088567730262,57.8836691792311
FL,48.7469907341144,48.7337822816758,46.4108740980547,51.0535043532483
GA,51.0360343240398,51.031201858952,49.0348786664249,53.0798419542634
HI,48.5417482996908,48.5693176573151,41.4210619768374,55.5948904869717
ID,47.8758828100643,47.8753505608794,43.0338245383443,53.3247818988117
IL,49.9760137446519,49.8475613686664,45.6447210663653,54.5596118421374
IN,52.1975734346415,52.1559458106013,49.6070959893144,54.7668313949652
IA,50.9569660508952,50.9904329067135,47.9283352365419,53.8738339172488
KS,50.6311609191085,50.636903011792,46.4266161298082,54.6961118519742
KY,53.3717000348264,53.3007762315596,50.8658317066308,56.1804548415955
LA,54.1306273227037,54.1376151909057,51.7815794202206,56.8509233081275
ME,51.1495468640938,51.1234282639994,45.9340091634096,56.1241865461064
MD,50.4373496471251,50.4820920085934,46.8155257103016,53.9160500702057
MA,48.2418733060546,48.2689589681648,43.852329533413,52.2965274353044
MI,50.8747417242484,50.8452847224799,47.6314566182825,53.9066451375413
MN,49.7927563223073,49.7939736164184,46.4256580246892,53.3660401735203
MS,55.7166377130509,55.7323616160275,53.3691881300073,57.9960126110149
MO,53.5861545658681,53.63010500724,50.5151788383899,56.5057933192363
MT,50.2889167179327,50.299699212709,45.9903073969429,54.5879294470039
NE,50.257185707896,50.0956707408714,45.7451749089486,55.1754876509573
NV,49.1325621286855,49.1354543141871,42.7539831690478,56.3785487474523
NH,50.2609342991945,50.2861928727349,44.2379914946812,56.0511251863839
NJ,47.3771823625977,47.3438172224367,44.4639765523192,50.2052098716089
NM,48.5261334202914,48.4902374171979,44.4409050646617,53.2589561590131
NY,48.0945049807744,48.1514670170794,45.2556832215622,50.8941123093775
NC,51.8491812002266,51.8371507016172,49.667816863863,54.1082635272662
ND,48.1698850814847,48.1220672822129,43.0752786634684,53.3817956232415
OH,51.5886666033517,51.5446323643913,48.983177648035,54.1989695609217
OK,52.7006726478869,52.7936498394908,49.4465789524842,55.7343191379668
OR,49.7176615160442,49.7060125872316,45.696269491995,53.7850871356072
PA,50.3551505200565,50.310030975625,47.3020965670635,53.3321090839868
RI,50.8546596154875,51.0353461324363,43.19230867462,58.2696327355724
SC,54.0407668614146,54.1349826661455,51.0986343953338,56.881092274461
SD,49.5229203677041,49.5301920275202,44.7631709191602,54.0272254149557
TN,52.9902493840225,52.8490686012045,50.2000543642049,56.1186611680246
TX,47.8938721611326,47.8470995819176,45.3950648888115,50.6064310184517
UT,44.2179834707057,44.1156356573811,38.7230168935868,50.0489822615837
VT,49.8788601969,49.8562930924065,44.8751319174647,55.127714973128
VA,50.1790018509788,50.1952220686011,48.0620206257682,52.2661491197417
WA,48.5214445945249,48.5795430071403,44.0728581766203,52.4801498684311
WV,53.916946639861,53.9093471390254,50.957757364424,57.2592078012487
WI,50.6282153957792,50.5203106500375,47.6500793605784,53.7137586237468
WY,48.3184403712645,48.3376129271783,44.2201228448142,52.7675345926433
