ethnicity,gender,mean,median,lower,upper
asian,female,32.2216839751866,32.1775372203262,29.5366562604112,35.2141161334912
asian,male,33.2341638530928,33.1913768247047,30.3652579950155,36.1998879373958
black,female,46.9600995954609,47.0078906269286,44.8444166018438,48.984349316232
black,male,41.6548322555498,41.6836952495438,39.5901993059939,43.5005880073221
hispanic,female,32.6882734959944,32.6503498304404,29.9068494395516,35.4310577806403
hispanic,male,34.0222448028246,33.890118272496,31.6092307775474,37.0337506281075
other,female,35.3547565953853,35.2848150649116,33.6211197741387,37.2044900708304
other,male,33.7845624478159,33.8067290434735,32.0881822386958,35.6012359873917
white,female,40.2160113279339,40.2382944766468,39.0159176065437,41.4347836273793
white,male,40.9772238997825,40.9600541182531,39.8969843802188,42.1058987782012
