state,mean,median,lower,upper
AL,71.4468718168877,71.4596551509957,68.6543541788867,74.0761621454483
AK,67.0227602550392,66.9750221658555,61.9161016515258,72.5405934397244
AZ,66.5973473709557,66.7379193984757,59.8398431203419,73.2045277805935
AR,71.0936240055463,71.1168484578853,68.2107516698627,73.8609891109995
CA,65.1393379296138,65.1800280195115,61.6563187760638,68.2444818256222
CO,66.3490754508284,66.2951053013661,62.5518795261519,70.0096817874098
CT,65.645303879164,65.5918526123265,60.9820694725187,69.7445764870897
DE,70.6789212209801,70.7670314979452,64.2395237337353,77.2450515544782
DC,66.9159810097594,67.116536703641,56.0916095288711,77.4146452514588
FL,66.397280457631,66.3520060009824,63.7479245387976,69.0469091197713
GA,70.166743147162,70.1621535532676,68.0813012452064,72.1532046212806
HI,64.9828988517017,65.0666666763415,57.5603471626121,71.4682261440821
ID,68.6801347092432,68.7690800509657,64.1199066303065,73.0865636053618
IL,69.0531999153694,69.008743084547,64.8555766205843,72.8395826145342
IN,70.0522895021465,70.0922647733167,67.7196335133122,72.3302067536348
IA,70.1456780488924,70.1717792232579,67.0459594645246,73.163282206776
KS,70.2599588997364,70.339465861343,66.6824124210742,73.664809264368
KY,71.42120494836,71.4079827108495,68.5567966247675,74.2095432614566
LA,71.2807523962887,71.3069572756201,68.9681909173874,73.6040316978068
ME,70.2323280729084,70.186507701376,64.7566749203643,75.1728730825587
MD,67.6001269487165,67.7159345042135,63.6421308966589,70.9908893312174
MA,66.3210009559215,66.3791225251231,62.1749106582495,70.3409848810045
MI,69.2317964815229,69.3242028074338,66.0160617431948,72.1695488382111
MN,69.5696844839794,69.6797051367992,65.7924455631967,73.1126168432918
MS,71.9609210141737,71.9651428123167,69.6111876722779,74.2767209743463
MO,72.9488585453318,73.0514715438205,70.0305902902362,75.8763852476464
MT,69.3863525250809,69.4324266365378,64.7879104774066,73.2174906453544
NE,70.7160773296003,70.7606446213729,65.8087592960826,75.2345847101214
NV,67.3681281685168,67.5170046023958,60.3527295970023,73.640184797126
NH,68.2153207409524,68.2279734015761,61.765112520988,74.1702852118928
NJ,65.9899716397484,65.983716501523,62.7213618476323,69.1405980680133
NM,67.2145416770343,67.2867314803646,63.0334490981013,71.194706921905
NY,66.2785094879798,66.3006620266936,63.4194681643366,69.2461043418812
NC,70.4023636773616,70.3683054467573,68.1645345106991,72.5680450105566
ND,70.0598315365848,70.0660631648353,64.8205858076124,74.9402194008455
OH,69.6345321670561,69.7287194010554,66.818051074082,72.294239239423
OK,70.8241653968264,70.840244980715,67.6592426958346,73.924597003659
OR,67.13763151196,67.221672641139,62.9853512920292,70.6090557528456
PA,68.3455997849518,68.3684812300946,65.3845968125125,71.3482624186248
RI,67.5545788816198,67.6807318218754,60.0286703333318,74.1216785330447
SC,70.8500855483359,70.8363615345027,67.6808560926347,73.5210884146997
SD,71.2897461303174,71.3014918696504,67.425019584825,75.3627352536972
TN,70.315928800354,70.2897184186072,67.808891667524,72.5932225036257
TX,68.0986219750125,68.1360081683008,65.6606413412547,70.4470197537654
UT,64.3609366164733,64.4098590009252,57.7007853435756,70.0776422940334
VT,68.3475697278242,68.3094989230629,62.7606411263686,73.787911068237
VA,68.3884050973204,68.3966855414183,66.0507311550704,70.5748356087122
WA,66.1137813658484,66.1017121519572,61.9985121681422,70.5430157786967
WV,71.2893513802815,71.2738331172976,67.9644945452846,74.6737912880046
WI,69.775415133361,69.8870717496754,66.6909285032,72.7899648691882
WY,68.1228877533304,68.1608055949638,63.4677539556824,72.2880189719448
