ethnicity,gender,mean,median,lower,upper
asian,female,31.3254469644698,31.3744914165738,28.6321144702959,34.1372223971805
asian,male,32.5910761632894,32.5368681844284,30.0135687974558,35.3938258635116
black,female,45.4694803378656,45.4752765186848,43.5941603215479,47.3019476457824
black,male,40.866574547644,40.9116974899675,39.1734383822576,42.6270929266444
hispanic,female,31.8890544608056,31.8678281722829,29.4754437847315,34.7127041473087
hispanic,male,33.9425034775528,33.8435425301192,31.4422606059031,36.7050773520929
other,female,34.9353862097995,34.9849921413477,33.4849709447067,36.580772242925
other,male,34.6763483955882,34.6860299397224,33.2133735032373,36.2246519794041
white,female,40.0028921215027,40.0041753904278,39.0344411728247,41.0049291327805
white,male,41.0620499963457,41.0511327174112,40.0482908205121,42.1613551794365
