state,mean,median,lower,upper
AL,0.538121407168025,0.53864953785672,0.505735273914243,0.567668191608202
AK,0.540757078871008,0.540303984719516,0.480154556009522,0.602897514249911
AZ,0.564686917283677,0.567337956537907,0.478566495895555,0.642935204333855
AR,0.538346285337126,0.538394356694842,0.502465698830033,0.568656933316153
CA,0.558994880371195,0.55962635286577,0.52357710822778,0.591406002402171
CO,0.528735888359848,0.527094777850695,0.482907990717802,0.572830106508899
CT,0.559108159535699,0.558869799536027,0.50197455694377,0.617804978701641
DE,0.547203671354344,0.546841143400808,0.46232068130582,0.629928191438028
DC,0.518390679935186,0.518546538913567,0.391039262749424,0.633651643598771
FL,0.579240624990115,0.5795577698572,0.549774180680822,0.607933822976983
GA,0.533626411624187,0.53312870463764,0.511107989752584,0.557351889007475
HI,0.589276750813941,0.592072511982646,0.50798196066145,0.666600014404205
ID,0.528781061174668,0.529750871888461,0.47318771435933,0.585384058113636
IL,0.514436860856382,0.514706545363162,0.466922013840606,0.564044908433178
IN,0.53948162507266,0.539858292540392,0.508161068830401,0.570452873892526
IA,0.518112338421457,0.518960519028258,0.481663356862623,0.552148642901212
KS,0.526321322217315,0.526879056999952,0.479841563503876,0.572715195221308
KY,0.56737260027097,0.567557823965557,0.533849896295652,0.60131327748882
LA,0.545609458356901,0.546395193411121,0.51489542816108,0.575762230891469
ME,0.537176253239811,0.53799277654793,0.475647752705989,0.596918770517825
MD,0.549313016562888,0.549483126704643,0.510559216855116,0.589824762220502
MA,0.557917844192738,0.55799133221042,0.505095333247896,0.611117137993298
MI,0.532555245024221,0.533384716555051,0.497220786344615,0.568461238047946
MN,0.512124652174994,0.511276195186997,0.469937477300264,0.554364027481777
MS,0.522748197351144,0.523625881871378,0.496961018127368,0.54911038098361
MO,0.500977918191793,0.500258814610288,0.466998874745862,0.536764060922596
MT,0.526673530650955,0.525187312190536,0.47801366348942,0.573477029866295
NE,0.526062112632992,0.525152572867296,0.47411519207424,0.58483044172771
NV,0.54028378965609,0.543000080114369,0.454171435006328,0.614428877684011
NH,0.55467360255142,0.55296781940881,0.475729992199574,0.635650770081192
NJ,0.573966519029027,0.574481912688601,0.535073872927532,0.608623315815116
NM,0.567928117836143,0.567450205781237,0.524032235182,0.613540444394151
NY,0.559294590326723,0.558408820210139,0.528489175925887,0.59339868854587
NC,0.537194320711739,0.536539822050346,0.512995848817685,0.561306296785223
ND,0.526344519920717,0.524964377449815,0.469879085884634,0.581492129151248
OH,0.535490200591177,0.534956910973004,0.504771650455392,0.569101545442783
OK,0.530126686044952,0.529847044371695,0.491114943445271,0.566318410192306
OR,0.526645157008854,0.52636652137159,0.476863116994394,0.573972086526818
PA,0.553889314532929,0.552601631564784,0.519080549552487,0.590510794634209
RI,0.555710198044819,0.556900505681393,0.462331882946449,0.649942176629844
SC,0.525965668625762,0.526038129517533,0.493348857106885,0.561599194106115
SD,0.512696490248736,0.512994597849233,0.460232388704972,0.564400943219959
TN,0.550535095903388,0.552154757404291,0.515926676380758,0.582830522072475
TX,0.553807282360603,0.553411610561621,0.526877021677754,0.58033262109072
UT,0.535797117359006,0.535369234227911,0.472672692888649,0.60176760330558
VT,0.551314241450283,0.55064620209451,0.489485595693415,0.607476237991347
VA,0.536426405621015,0.536338789358602,0.51069276468124,0.560344033287394
WA,0.514918195390744,0.515331544798232,0.464806132632646,0.560575584758792
WV,0.54703904669571,0.547521192824447,0.504494449204038,0.582852853783582
WI,0.519656132191906,0.519474949668355,0.484043824181998,0.557935411534312
WY,0.539522405777008,0.539736335200448,0.485346223441414,0.587872303039882
