state,mean,median,lower,upper
AL,45.613357473938,45.6211868272344,43.0247607867553,48.4150244838138
AK,40.4912893951142,40.5231199611042,35.8352205801328,45.8799603269613
AZ,38.3128892085682,38.2292780273521,31.8162873005275,44.5634824766547
AR,44.9631956734555,44.9530517934959,42.4611654092638,47.5028869804493
CA,37.9097477772388,37.8788151001365,34.8454793179958,40.7602317004638
CO,37.4805329200235,37.5042271083497,34.016255902625,41.1829154160394
CT,40.7502536366867,40.7565415223935,35.5499028249444,45.3278725126843
DE,44.2700063856368,44.2227267969205,37.4542914159449,51.1354627981682
DC,39.2081504394679,39.0828575087336,28.9837131603319,51.392557986777
FL,41.3205334984583,41.3322480545242,38.966090518684,43.9834834237725
GA,41.2807566864961,41.3152804523384,39.005071474826,43.3648152456165
HI,39.6124068509254,39.2971836140151,33.1333167321825,46.9152230130023
ID,39.4873805797656,39.5060613489446,34.8121409551054,44.0754544451953
IL,40.4309079637545,40.3970128351328,36.6861807473538,44.6941400692224
IN,42.5467129828864,42.5248967037459,40.1334404036302,45.2876488555079
IA,40.8763773297959,40.9103541789521,37.8444237213162,43.7875512723766
KS,41.58807000289,41.6028864467004,38.0831924365998,45.2393148337081
KY,44.5063627612321,44.5003047055863,41.8884957879689,47.3784372230672
LA,44.2667569209216,44.2799730574128,41.8019908175017,46.8960727854965
ME,41.9097804378097,41.7032089642097,37.0639423159176,47.8488064540529
MD,41.9925182049155,42.1194269393355,38.5351779089357,45.5999820019565
MA,39.7404060618125,39.7225147553939,35.693350734929,44.016599849749
MI,42.2070592764897,42.2423489104088,39.0849967023849,45.2593930235385
MN,38.4494730090978,38.3442195100729,35.1117973761103,41.9436247482812
MS,45.769034208709,45.7920756407378,43.4761584913464,48.1431200927637
MO,43.4874162120375,43.51302844126,40.5899759858827,46.7622266989276
MT,41.9563173732667,41.9897809157943,37.5449918981747,46.0006385978165
NE,39.0786842621784,38.9862292345432,34.7421406225886,43.5740445447806
NV,39.7313525954626,39.6713236641199,32.9749521294709,46.8092433737579
NH,42.5024818997586,42.4634546355814,36.4841414619755,48.2004776944114
NJ,39.4035277242821,39.4324913505209,36.5872279777306,42.2110514656958
NM,38.9582862957454,38.9669198255113,34.6497837374176,43.0052713688824
NY,40.4368941368297,40.424586509695,37.9721818835208,42.8580425175516
NC,42.6041296437951,42.6003544446261,40.5406417102816,45.0030755005414
ND,39.8343394351065,39.7734215036333,34.6509273656445,45.325154853858
OH,42.2928135629703,42.2880166362501,39.6484220827612,45.0098791720623
OK,43.9438476024925,43.9282076314174,40.5201864130911,47.1406905902007
OR,40.7488172103024,40.6946416750282,37.0175211668268,45.2936371900655
PA,41.7520689680327,41.7497858975484,38.8849120892848,44.4108342367155
RI,42.0582078306974,41.9952540580443,34.6428762377575,49.1228509109481
SC,43.5643989226725,43.5743256085287,40.973124269584,46.5014061525062
SD,41.0589356219986,40.9463082251891,36.9438826790153,45.7564947001896
TN,44.0971147950842,44.0366722677414,41.518811537755,46.9471656248614
TX,38.868578999804,38.8962804646856,36.5090120719942,41.2717002030069
UT,35.6056234873448,35.5455993658804,30.1959367681638,41.8045395327347
VT,42.7671351848901,42.6101461776507,36.9828486224604,48.3703259226693
VA,40.9883713560227,40.9887335464298,38.7719196402749,43.0737937815087
WA,40.3223168134706,40.2122059595728,36.4858309610341,44.4555648534944
WV,46.0696224556815,46.0444876968136,43.0024539444866,48.9808691323763
WI,39.5794718439846,39.6337027716052,36.3052398048318,42.6815059078789
WY,39.5998239334324,39.5484069127203,35.0363606294275,43.4263726660535
